b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b3006,outer membrane transport energization protein ExbB (TC 2.C.1.1.1),COG0811,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3175,protein translocase subunit secG,COG1314,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3300,protein translocase subunit secY/sec61 alpha,COG0201,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3324,type II secretion system protein C (GspC),COG3031,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3325,type II secretion system protein D (GspD),COG1450,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3326,"general secretory pathway component, cryptic",COG2804,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3327,type II secretion system protein F (GspF),COG1459,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3328,type II secretion system protein G (GspG),COG2165,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3329,type II secretion system protein H (GspH),COG2165,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3331,type II secretion system protein J (GspJ),COG4795,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3332,type II secretion system protein K (GspK),COG3156,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3333,type II secretion system protein L (GspL),COG3297,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3335,type 4 prepilin peptidase 1 (EC:3.4.23.43). Aspartic peptidase. MEROPS family A24A,COG1989,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3442,conserved protein,COG3157,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3464,signal recognition particle-docking protein FtsY,COG0552,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3530,cellulose synthase subunit,COG5010,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3609,protein translocase subunit secB,COG1952,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3836,TatABCE protein translocation system subunit,COG1826,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3838,Sec-independent protein translocase TatB,COG1826,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3839,Sec-independent protein translocase TatC,COG0805,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3981,protein translocase subunit secE/sec61 gamma,COG0690,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b4221,autotransporter secretion inner membrane protein TamB,COG2911,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
