gene,bnumber,COG class,molecular_weight_kDa,sequence_length,condition,copy_number_molecule-per-fL,growth_rate_hr-1,,,
ddlb,b0092,[m],32.839,306,glucose_minimal,69.9387019,0.21,,,
ftsa,b0094,[d],45.329,420,glucose_minimal,201.6443859,0.21,,,
ftsz,b0095,[d],40.323,383,glucose_minimal,2354.184564,0.21,,,
lpxc,b0096,[m],33.956,305,glucose_minimal,141.1270128,0.21,,,
seca,b0098,[u],102.02,901,glucose_minimal,668.7189632,0.21,,,
yacf,b0102,[s],28.291,247,glucose_minimal,94.62396032,0.21,,,
guac,b0104,[f],37.383,347,glucose_minimal,602.1115311,0.21,,,
nadc,b0109,[h],32.762,297,glucose_minimal,166.2979173,0.21,,,
arop,b0112,[e],49.69,457,glucose_minimal,159.9932777,0.21,,,
pdhr,b0113,[k],29.425,254,glucose_minimal,,0.21,,,
acee,b0114,[c],99.667,887,glucose_minimal,5695.20074,0.21,,,
acef,b0115,[c],66.095,630,glucose_minimal,4538.477498,0.21,,,
lpd,b0116,[c],50.688,474,glucose_minimal,10882.42361,0.21,,,
acnb,b0118,[c],93.497,865,glucose_minimal,22299.20366,0.21,,,
yacl,b0119,[s],13.941,120,glucose_minimal,273.571482,0.21,,,
sped,b0120,[e],30.384,264,glucose_minimal,201.354078,0.21,,,
spee,b0121,[e],32.321,288,glucose_minimal,270.4258869,0.21,,,
yacc,b0122,,12.854,115,glucose_minimal,,0.21,,,
cueo,b0123,[q],56.556,516,glucose_minimal,259.3221468,0.21,,,
gcd,b0124,[g],86.746,796,glucose_minimal,50.76036654,0.21,,,
hpt,b0125,,20.115,178,glucose_minimal,678.6310461,0.21,,,
can,b0126,[p],25.096,220,glucose_minimal,2355.608937,0.21,,,
yadg,b0127,[v],34.647,308,glucose_minimal,153.1741686,0.21,,,
pand,b0131,[h],13.834,126,glucose_minimal,553.7923379,0.21,,,
panc,b0133,[h],31.597,283,glucose_minimal,1626.571792,0.21,,,
panb,b0134,[h],28.237,264,glucose_minimal,1576.676633,0.21,,,
pcnb,b0143,[j],53.87,465,glucose_minimal,44.43797578,0.21,,,
dksa,b0145,[t],17.528,151,glucose_minimal,1707.219564,0.21,,,
mrcb,b0149,[m],94.291,844,glucose_minimal,518.1896744,0.21,,,
fhua,b0150,[p],82.181,747,glucose_minimal,463.8073074,0.21,,,
heml,b0154,[h],45.366,426,glucose_minimal,1023.856511,0.21,,,
erpa,b0156,,12.1,114,glucose_minimal,1014.508464,0.21,,,
mtn,b0159,,24.354,232,glucose_minimal,396.4051039,0.21,,,
degp,b0161,[o],49.354,474,glucose_minimal,1447.630518,0.21,,,
yaeh,b0163,,15.096,128,glucose_minimal,7301.722864,0.21,,,
dapd,b0166,[e],29.892,274,glucose_minimal,3905.459958,0.21,,,
glnd,b0167,[o],102.39,890,glucose_minimal,,0.21,,,
map,b0168,[j],29.33,264,glucose_minimal,552.8426705,0.21,,,
rpsb,b0169,[j],26.743,241,glucose_minimal,16328.79314,0.21,,,
tsf,b0170,[j],30.423,283,glucose_minimal,14366.3934,0.21,,,
pyrh,b0171,[f],25.97,241,glucose_minimal,520.6644562,0.21,,,
frr,b0172,[j],20.638,185,glucose_minimal,3796.240524,0.21,,,
ispu,b0174,[i],28.444,253,glucose_minimal,,0.21,,,
rsep,b0176,,49.071,450,glucose_minimal,,0.21,,,
bama,b0177,,90.552,810,glucose_minimal,1722.677332,0.21,,,
skp,b0178,,17.688,161,glucose_minimal,9345.841005,0.21,,,
lpxd,b0179,[m],36.038,341,glucose_minimal,231.0117992,0.21,,,
fabz,b0180,[i],17.033,151,glucose_minimal,1887.536689,0.21,,,
lpxa,b0181,[m],28.08,262,glucose_minimal,592.3127667,0.21,,,
acca,b0185,[i],35.241,319,glucose_minimal,2077.895443,0.21,,,
yaer,b0187,,14.737,129,glucose_minimal,,0.21,,,
rof,b0189,[k],9.4795,84,glucose_minimal,,0.21,,,
nlpe,b0192,[mp],25.844,236,glucose_minimal,,0.21,,,
pros,b0194,[j],63.692,572,glucose_minimal,1903.122583,0.21,,,
rcsf,b0196,,14.163,134,glucose_minimal,251.5099192,0.21,,,
metq,b0197,[p],29.431,271,glucose_minimal,28736.92775,0.21,,,
meti,b0198,[p],23.256,217,glucose_minimal,,0.21,,,
metn,b0199,[p],37.788,343,glucose_minimal,328.5201919,0.21,,,
gmhb,b0200,[e],21.294,191,glucose_minimal,181.1711231,0.21,,,
dkgb,b0207,[r],29.436,267,glucose_minimal,111.0299424,0.21,,,
glob,b0212,[r],28.434,251,glucose_minimal,219.7502112,0.21,,,
ivy,b0220,,16.872,157,glucose_minimal,1033.682754,0.21,,,
fade,b0221,[i],89.223,814,glucose_minimal,333.3893454,0.21,,,
lpca,b0222,[g],20.815,192,glucose_minimal,3707.000402,0.21,,,
dinj,b0226,[l],9.4057,86,glucose_minimal,,0.21,,,
pepd,b0237,[e],52.915,485,glucose_minimal,2595.897249,0.21,,,
gpt,b0238,[f],16.97,152,glucose_minimal,1025.077438,0.21,,,
frsa,b0239,[r],47.008,414,glucose_minimal,236.2051392,0.21,,,
crl,b0240,,15.655,133,glucose_minimal,2271.057553,0.21,,,
prob,b0242,[e],39.056,367,glucose_minimal,487.9063474,0.21,,,
proa,b0243,[e],44.63,417,glucose_minimal,746.6516107,0.21,,,
insh,b0259,,39.327,338,glucose_minimal,,0.21,,,
argf,b0273,[e],36.827,334,glucose_minimal,46.36205633,0.21,,,
yagu,b0287,[s],22.967,204,glucose_minimal,141.0248455,0.21,,,
betb,b0312,[c],52.911,490,glucose_minimal,,0.21,,,
yahk,b0325,[r],37.978,349,glucose_minimal,3122.461883,0.21,,,
yaho,b0329,,9.8953,91,glucose_minimal,934.9317933,0.21,,,
prpb,b0331,[g],32.134,296,glucose_minimal,490.5584783,0.21,,,
prpc,b0333,[c],43.102,389,glucose_minimal,1144.694013,0.21,,,
prpd,b0334,[r],53.951,483,glucose_minimal,1009.334383,0.21,,,
codb,b0336,[f],43.649,419,glucose_minimal,,0.21,,,
coda,b0337,[fr],47.59,427,glucose_minimal,582.6198935,0.21,,,
laci,b0345,,38.59,360,glucose_minimal,,0.21,,,
mhpr,b0346,[k],31.322,277,glucose_minimal,126.0842727,0.21,,,
yail,b0354,,19.923,179,glucose_minimal,213.8715726,0.21,,,
frma,b0356,[c],39.359,369,glucose_minimal,312.3552348,0.21,,,
frmr,b0357,,10.318,91,glucose_minimal,,0.21,,,
hemb,b0369,,35.624,324,glucose_minimal,394.5566468,0.21,,,
ddla,b0381,[m],39.315,364,glucose_minimal,84.42587152,0.21,,,
irap,b0382,,9.9374,86,glucose_minimal,1479.450013,0.21,,,
psif,b0384,,11.686,106,glucose_minimal,,0.21,,,
proc,b0386,[e],28.145,269,glucose_minimal,1063.317039,0.21,,,
arol,b0388,[e],19.151,174,glucose_minimal,,0.21,,,
yaie,b0391,[s],10.234,94,glucose_minimal,386.8973946,0.21,,,
rdgc,b0393,[l],33.993,303,glucose_minimal,293.9284031,0.21,,,
mak,b0394,[kg],32.499,302,glucose_minimal,,0.21,,,
quea,b0405,[j],39.43,356,glucose_minimal,68.79876743,0.21,,,
tgt,b0406,[j],42.593,375,glucose_minimal,188.691911,0.21,,,
yajc,b0407,[u],11.887,110,glucose_minimal,6301.753412,0.21,,,
secd,b0408,[u],66.631,615,glucose_minimal,642.3284909,0.21,,,
secf,b0409,[u],35.382,323,glucose_minimal,174.5925321,0.21,,,
yajd,b0410,,13.364,115,glucose_minimal,,0.21,,,
tsx,b0411,[m],33.589,294,glucose_minimal,1412.058176,0.21,,,
nrdr,b0413,,17.229,149,glucose_minimal,391.8681478,0.21,,,
ribd,b0414,[h],40.338,367,glucose_minimal,,0.21,,,
ribe,b0415,[h],16.156,156,glucose_minimal,3669.822799,0.21,,,
nusb,b0416,[k],15.689,139,glucose_minimal,1077.736212,0.21,,,
thil,b0417,[h],35.07,325,glucose_minimal,50.77835181,0.21,,,
yajo,b0419,[c],36.42,324,glucose_minimal,247.366711,0.21,,,
dxs,b0420,[hi],67.616,620,glucose_minimal,145.5021836,0.21,,,
ispa,b0421,[h],32.159,299,glucose_minimal,92.23564985,0.21,,,
xseb,b0422,[l],8.9518,80,glucose_minimal,,0.21,,,
thii,b0423,[h],54.972,482,glucose_minimal,87.2205523,0.21,,,
yajl,b0424,,20.777,196,glucose_minimal,,0.21,,,
yajq,b0426,[s],18.344,163,glucose_minimal,6824.014403,0.21,,,
cyod,b0429,[c],12.029,109,glucose_minimal,138.7468871,0.21,,,
cyob,b0431,[c],74.367,663,glucose_minimal,324.6196914,0.21,,,
cyoa,b0432,[c],34.911,315,glucose_minimal,2330.561,0.21,,,
yajg,b0434,,20.95,192,glucose_minimal,1849.504792,0.21,,,
bola,b0435,,11.994,105,glucose_minimal,251.8490468,0.21,,,
tig,b0436,[o],48.192,432,glucose_minimal,10917.33844,0.21,,,
clpp,b0437,[ou],23.186,207,glucose_minimal,1774.011923,0.21,,,
clpx,b0438,[o],46.355,424,glucose_minimal,1362.08728,0.21,,,
lon,b0439,[o],87.437,784,glucose_minimal,867.6128888,0.21,,,
hupb,b0440,[l],9.2255,90,glucose_minimal,50183.48506,0.21,,,
ppid,b0441,[o],68.149,623,glucose_minimal,1444.898814,0.21,,,
quec,b0444,,25.514,231,glucose_minimal,103.1447135,0.21,,,
glnk,b0450,[e],12.259,112,glucose_minimal,117.7541292,0.21,,,
tesb,b0452,[i],31.966,286,glucose_minimal,,0.21,,,
ybay,b0453,,19.431,190,glucose_minimal,1579.393963,0.21,,,
ylac,b0458,,18.267,156,glucose_minimal,,0.21,,,
acrb,b0462,[v],113.57,1049,glucose_minimal,211.2592062,0.21,,,
acra,b0463,[m],42.196,397,glucose_minimal,2021.3759,0.21,,,
kefa,b0465,[m],127.21,1120,glucose_minimal,,0.21,,,
ybam,b0466,,6.0248,53,glucose_minimal,13.04300941,0.21,,,
apt,b0469,[f],19.859,183,glucose_minimal,505.4765293,0.21,,,
ybab,b0471,[s],12.015,109,glucose_minimal,2718.628957,0.21,,,
htpg,b0473,[o],71.422,624,glucose_minimal,1901.728087,0.21,,,
adk,b0474,[f],23.586,214,glucose_minimal,4391.768053,0.21,,,
hemh,b0475,,35.884,320,glucose_minimal,,0.21,,,
gsk,b0477,[g],48.448,434,glucose_minimal,,0.21,,,
usha,b0480,[f],60.823,550,glucose_minimal,255.3026022,0.21,,,
ybak,b0481,[s],17.093,159,glucose_minimal,272.3111296,0.21,,,
copa,b0484,[p],87.872,834,glucose_minimal,223.9500787,0.21,,,
ybbl,b0490,[r],25.382,225,glucose_minimal,58.55608954,0.21,,,
ybbn,b0492,,31.791,284,glucose_minimal,831.9039242,0.21,,,
ybbo,b0493,[iqr],29.41,269,glucose_minimal,,0.21,,,
ybba,b0495,[q],24.533,228,glucose_minimal,,0.21,,,
allr,b0506,[k],29.269,271,glucose_minimal,102.5459579,0.21,,,
purk,b0522,[f],39.461,355,glucose_minimal,47.61335287,0.21,,,
pure,b0523,[f],17.78,169,glucose_minimal,600.7043631,0.21,,,
ppib,b0525,[o],18.153,164,glucose_minimal,3772.493993,0.21,,,
cyss,b0526,[j],52.202,461,glucose_minimal,398.8165687,0.21,,,
ybcj,b0528,[s],7.3895,70,glucose_minimal,741.677819,0.21,,,
fold,b0529,[h],31.043,288,glucose_minimal,300.8296132,0.21,,,
nmpc,b0553,[m],40.302,365,glucose_minimal,,0.21,,,
bord,b0557,,10.447,97,glucose_minimal,560.2949234,0.21,,,
ompt,b0565,[m],35.562,317,glucose_minimal,5484.850947,0.21,,,
cusr,b0571,[tk],25.394,227,glucose_minimal,,0.21,,,
cusc,b0572,[mu],50.269,457,glucose_minimal,458.5460418,0.21,,,
cusb,b0574,[m],44.304,407,glucose_minimal,396.3455741,0.21,,,
nfsb,b0578,,23.905,217,glucose_minimal,2216.712994,0.21,,,
fepa,b0584,[p],82.106,746,glucose_minimal,39.58863727,0.21,,,
fepb,b0592,[p],34.283,318,glucose_minimal,,0.21,,,
ente,b0594,[q],59.111,536,glucose_minimal,,0.21,,,
entb,b0595,[q],32.554,285,glucose_minimal,,0.21,,,
enta,b0596,[iqr],26.249,248,glucose_minimal,,0.21,,,
csta,b0598,[t],75.104,701,glucose_minimal,1283.984333,0.21,,,
ybdh,b0599,[c],39.091,362,glucose_minimal,,0.21,,,
ybdl,b0600,[e],42.962,386,glucose_minimal,,0.21,,,
dsbg,b0604,[o],27.495,248,glucose_minimal,,0.21,,,
ahpc,b0605,[o],20.761,187,glucose_minimal,51210.11471,0.21,,,
ahpf,b0606,[o],56.176,521,glucose_minimal,1323.589075,0.21,,,
uspg,b0607,[t],15.935,142,glucose_minimal,2412.41265,0.21,,,
rnk,b0610,[k],14.927,136,glucose_minimal,,0.21,,,
cspe,b0623,[k],7.4634,69,glucose_minimal,20264.46011,0.21,,,
tate,b0627,[u],7.0242,67,glucose_minimal,83.34789867,0.21,,,
lipa,b0628,[h],36.071,321,glucose_minimal,434.1114787,0.21,,,
ybed,b0631,[s],9.8272,87,glucose_minimal,2250.894545,0.21,,,
daca,b0632,[m],44.443,403,glucose_minimal,963.442588,0.21,,,
rlpa,b0633,[m],37.528,362,glucose_minimal,204.9477464,0.21,,,
ybeb,b0637,,11.582,105,glucose_minimal,189.5488972,0.21,,,
lpte,b0641,,21.356,193,glucose_minimal,450.3143175,0.21,,,
leus,b0642,[j],97.233,860,glucose_minimal,1554.588682,0.21,,,
ybel,b0643,,18.797,160,glucose_minimal,984.8831772,0.21,,,
hscc,b0650,[o],61.986,556,glucose_minimal,,0.21,,,
riha,b0651,[f],33.823,311,glucose_minimal,123.0390808,0.21,,,
gltl,b0652,[e],26.661,241,glucose_minimal,72.0159145,0.21,,,
glti,b0655,[et],33.42,302,glucose_minimal,2407.317785,0.21,,,
lnt,b0657,[m],57.065,512,glucose_minimal,27.27188674,0.21,,,
ybex,b0658,[p],33.298,292,glucose_minimal,178.6393057,0.21,,,
ybez,b0660,[t],39.038,346,glucose_minimal,722.361195,0.21,,,
miab,b0661,[j],53.662,474,glucose_minimal,147.6387815,0.21,,,
ubif,b0662,[hc],42.953,391,glucose_minimal,,0.21,,,
asnb,b0674,[e],62.658,554,glucose_minimal,318.1600804,0.21,,,
nagd,b0675,[g],27.163,250,glucose_minimal,183.5660659,0.21,,,
nagc,b0676,[kg],44.541,406,glucose_minimal,137.7895633,0.21,,,
naga,b0677,[g],40.949,382,glucose_minimal,99.76220309,0.21,,,
nagb,b0678,[g],29.774,266,glucose_minimal,763.7053741,0.21,,,
nage,b0679,[g],68.346,648,glucose_minimal,703.3616529,0.21,,,
glns,b0680,[j],63.477,554,glucose_minimal,939.2590328,0.21,,,
fur,b0683,[p],16.795,148,glucose_minimal,4190.379064,0.21,,,
flda,b0684,[c],19.737,176,glucose_minimal,1822.956393,0.21,,,
ybff,b0686,[r],28.437,254,glucose_minimal,154.6445589,0.21,,,
seqa,b0687,[l],20.315,181,glucose_minimal,566.15111,0.21,,,
pgm,b0688,[g],58.36,546,glucose_minimal,1801.682736,0.21,,,
ybgi,b0710,[s],26.892,247,glucose_minimal,1156.208031,0.21,,,
ybgk,b0712,[e],34.386,310,glucose_minimal,,0.21,,,
glta,b0720,[c],48.014,427,glucose_minimal,26490.109,0.21,,,
sdhd,b0722,[c],12.867,115,glucose_minimal,796.5331322,0.21,,,
sdha,b0723,[c],64.421,588,glucose_minimal,7437.775608,0.21,,,
sdhb,b0724,[c],26.77,238,glucose_minimal,6197.304258,0.21,,,
suca,b0726,[c],105.06,933,glucose_minimal,3622.637825,0.21,,,
sucb,b0727,[c],44.011,405,glucose_minimal,7876.465589,0.21,,,
succ,b0728,[c],41.392,388,glucose_minimal,24785.08855,0.21,,,
sucd,b0729,[c],29.777,289,glucose_minimal,18226.48406,0.21,,,
cyda,b0733,[c],58.204,522,glucose_minimal,1121.30456,0.21,,,
cydb,b0734,[c],42.453,379,glucose_minimal,355.8451446,0.21,,,
tolq,b0737,[u],25.597,230,glucose_minimal,155.7699599,0.21,,,
tolr,b0738,[u],15.383,142,glucose_minimal,,0.21,,,
tola,b0739,[m],43.156,421,glucose_minimal,,0.21,,,
tolb,b0740,[u],45.955,430,glucose_minimal,1226.067322,0.21,,,
pal,b0741,[m],18.824,173,glucose_minimal,14214.86258,0.21,,,
ybgf,b0742,[s],28.231,263,glucose_minimal,642.1531662,0.21,,,
nada,b0750,[h],38.24,347,glucose_minimal,124.8816188,0.21,,,
ybgs,b0753,,12.872,126,glucose_minimal,,0.21,,,
arog,b0754,[e],38.009,350,glucose_minimal,2540.381324,0.21,,,
gpma,b0755,[g],28.556,250,glucose_minimal,8581.320755,0.21,,,
galm,b0756,[g],38.19,346,glucose_minimal,782.3076592,0.21,,,
galk,b0757,[g],41.442,382,glucose_minimal,438.9856392,0.21,,,
galt,b0758,[c],39.645,348,glucose_minimal,62.73487792,0.21,,,
gale,b0759,,37.265,338,glucose_minimal,569.5462635,0.21,,,
modf,b0760,[p],54.535,490,glucose_minimal,71.81308853,0.21,,,
mode,b0761,[r],28.281,262,glucose_minimal,,0.21,,,
moda,b0763,[p],27.364,257,glucose_minimal,264.6008011,0.21,,,
modc,b0765,[p],39.102,352,glucose_minimal,32.9371272,0.21,,,
ybha,b0766,[r],30.201,272,glucose_minimal,86.02535531,0.21,,,
pgl,b0767,,36.307,331,glucose_minimal,1192.638842,0.21,,,
ybhc,b0772,[g],46.082,427,glucose_minimal,378.0319084,0.21,,,
ybhb,b0773,,17.085,158,glucose_minimal,,0.21,,,
bioa,b0774,[h],47.335,429,glucose_minimal,,0.21,,,
biob,b0775,[h],38.648,346,glucose_minimal,,0.21,,,
biod,b0778,[h],24.139,225,glucose_minimal,114.2060744,0.21,,,
uvrb,b0779,[l],76.225,673,glucose_minimal,142.8070951,0.21,,,
moab,b0782,[h],18.665,170,glucose_minimal,2156.069174,0.21,,,
moac,b0783,[h],17.467,161,glucose_minimal,204.2989804,0.21,,,
moad,b0784,[h],8.7578,81,glucose_minimal,,0.21,,,
moae,b0785,[h],16.981,150,glucose_minimal,,0.21,,,
ybhm,b0787,[r],26.123,237,glucose_minimal,,0.21,,,
ybhg,b0795,[m],36.415,332,glucose_minimal,20.42396246,0.21,,,
rhle,b0797,[lkj],49.989,454,glucose_minimal,,0.21,,,
ybib,b0800,[e],35.048,320,glucose_minimal,441.8198103,0.21,,,
ybic,b0801,[c],38.897,361,glucose_minimal,722.7504765,0.21,,,
fiu,b0805,[p],81.959,760,glucose_minimal,72.28226193,0.21,,,
rlmf,b0807,,34.226,308,glucose_minimal,,0.21,,,
glnq,b0809,[e],26.731,240,glucose_minimal,777.9294741,0.21,,,
glnh,b0811,[et],27.19,248,glucose_minimal,13754.22798,0.21,,,
dps,b0812,[p],18.695,167,glucose_minimal,16773.90608,0.21,,,
ompx,b0814,[m],18.602,171,glucose_minimal,3201.517626,0.21,,,
ybis,b0819,[s],33.325,306,glucose_minimal,1040.045606,0.21,,,
ybit,b0820,[r],59.857,530,glucose_minimal,184.3870647,0.21,,,
ybiu,b0821,,47.329,421,glucose_minimal,23.21459492,0.21,,,
ybiv,b0822,[r],30.412,271,glucose_minimal,47.68677975,0.21,,,
moea,b0827,[h],44.067,411,glucose_minimal,204.6527057,0.21,,,
gsib,b0830,,56.47,512,glucose_minimal,208.2557676,0.21,,,
rimo,b0835,,49.581,441,glucose_minimal,101.5604364,0.21,,,
gstb,b0838,,23.713,208,glucose_minimal,1274.354119,0.21,,,
dacc,b0839,[m],43.608,400,glucose_minimal,1162.181097,0.21,,,
deor,b0840,,28.548,252,glucose_minimal,,0.21,,,
nfsa,b0851,[c],26.8,240,glucose_minimal,262.7538083,0.21,,,
potf,b0854,[e],40.839,370,glucose_minimal,1492.519792,0.21,,,
potg,b0855,,41.93,377,glucose_minimal,65.43939598,0.21,,,
artj,b0860,[et],26.829,243,glucose_minimal,1584.850986,0.21,,,
arti,b0863,[et],26.929,243,glucose_minimal,1578.098408,0.21,,,
artp,b0864,[e],27.022,242,glucose_minimal,184.237723,0.21,,,
ybjp,b0865,,18.991,171,glucose_minimal,3127.156541,0.21,,,
ybjq,b0866,[s],11.437,107,glucose_minimal,,0.21,,,
ltae,b0870,[e],36.494,333,glucose_minimal,135.4897644,0.21,,,
poxb,b0871,[eh],62.011,572,glucose_minimal,568.6214839,0.21,,,
maca,b0878,,40.623,371,glucose_minimal,,0.21,,,
cspd,b0880,[k],7.9689,74,glucose_minimal,1759.047001,0.21,,,
clps,b0881,,12.179,106,glucose_minimal,,0.21,,,
clpa,b0882,[o],84.206,758,glucose_minimal,254.2291414,0.21,,,
infa,b0884,[j],8.2495,72,glucose_minimal,2522.845615,0.21,,,
cydc,b0886,[co],62.919,573,glucose_minimal,68.73176611,0.21,,,
cydd,b0887,[co],65.055,588,glucose_minimal,27.97703135,0.21,,,
trxb,b0888,[o],34.623,321,glucose_minimal,1479.872367,0.21,,,
lrp,b0889,[k],18.887,164,glucose_minimal,9238.284323,0.21,,,
lola,b0891,[m],22.497,203,glucose_minimal,,0.21,,,
sers,b0893,[j],48.413,430,glucose_minimal,1823.029695,0.21,,,
ycac,b0897,[q],23.1,208,glucose_minimal,1336.577721,0.21,,,
pfla,b0902,[o],28.204,246,glucose_minimal,221.9545561,0.21,,,
pflb,b0903,[c],85.356,760,glucose_minimal,12500.63695,0.21,,,
ycao,b0905,,65.651,586,glucose_minimal,49.71247385,0.21,,,
serc,b0907,[he],39.783,362,glucose_minimal,6298.500729,0.21,,,
aroa,b0908,[e],46.095,427,glucose_minimal,340.6707763,0.21,,,
cmk,b0910,[f],24.746,227,glucose_minimal,202.9059178,0.21,,,
rpsa,b0911,[j],61.157,557,glucose_minimal,13120.97824,0.21,,,
ihfb,b0912,[l],10.651,94,glucose_minimal,6931.459062,0.21,,,
msba,b0914,[v],64.46,582,glucose_minimal,55.53880927,0.21,,,
ycar,b0917,[s],6.8549,60,glucose_minimal,1281.997173,0.21,,,
kdsb,b0918,[m],27.614,248,glucose_minimal,252.8448023,0.21,,,
mukf,b0922,[d],50.578,440,glucose_minimal,,0.21,,,
muke,b0923,[d],26.974,234,glucose_minimal,173.5371783,0.21,,,
mukb,b0924,[d],170.23,1486,glucose_minimal,85.11190722,0.21,,,
ycbl,b0927,[r],23.784,215,glucose_minimal,282.4195696,0.21,,,
aspc,b0928,[e],43.573,396,glucose_minimal,11810.74718,0.21,,,
ompf,b0929,[m],39.333,362,glucose_minimal,76056.20987,0.21,,,
asns,b0930,[j],52.57,466,glucose_minimal,2299.103648,0.21,,,
pncb,b0931,[h],45.897,400,glucose_minimal,330.4844001,0.21,,,
pepn,b0932,[e],98.918,870,glucose_minimal,1037.756785,0.21,,,
pyrd,b0945,[f],36.774,336,glucose_minimal,228.7165956,0.21,,,
ycbx,b0947,[r],40.644,369,glucose_minimal,46.08857006,0.21,,,
uup,b0949,[r],72.066,635,glucose_minimal,18.66359619,0.21,,,
pqib,b0951,[r],60.52,546,glucose_minimal,,0.21,,,
rmf,b0953,[j],6.5074,55,glucose_minimal,1396.007669,0.21,,,
faba,b0954,[i],18.969,172,glucose_minimal,12274.62747,0.21,,,
ycbz,b0955,[o],65.818,586,glucose_minimal,,0.21,,,
matp,b0956,,17.693,150,glucose_minimal,180.2729718,0.21,,,
ompa,b0957,[m],37.2,346,glucose_minimal,90750.23719,0.21,,,
yccf,b0961,[s],16.275,148,glucose_minimal,,0.21,,,
held,b0962,[l],77.975,684,glucose_minimal,,0.21,,,
mgsa,b0963,[g],16.918,152,glucose_minimal,569.6601189,0.21,,,
yccu,b0965,,14.701,137,glucose_minimal,967.6842596,0.21,,,
rlmi,b0967,,44.356,396,glucose_minimal,76.05940967,0.21,,,
tuse,b0969,,12.41,109,glucose_minimal,,0.21,,,
gfcd,b0984,,78.686,698,glucose_minimal,,0.21,,,
cbpa,b1000,[o],34.455,306,glucose_minimal,,0.21,,,
agp,b1002,,45.682,413,glucose_minimal,1945.474193,0.21,,,
yccj,b1003,,8.5244,75,glucose_minimal,862.2490371,0.21,,,
wrba,b1004,[r],20.845,198,glucose_minimal,6786.8634,0.21,,,
puta,b1014,[e],143.81,1320,glucose_minimal,,0.21,,,
putp,b1015,[er],54.344,502,glucose_minimal,52.24464886,0.21,,,
efeo,b1018,,41.137,375,glucose_minimal,350.6232866,0.21,,,
ghra,b1033,,35.343,312,glucose_minimal,381.6019149,0.21,,,
ycdx,b1034,[er],26.89,245,glucose_minimal,220.1017748,0.21,,,
ycdy,b1035,[r],20.724,184,glucose_minimal,302.7856698,0.21,,,
ymdb,b1045,,18.88,177,glucose_minimal,,0.21,,,
opgg,b1048,,57.912,511,glucose_minimal,1136.146633,0.21,,,
opgh,b1049,,96.936,847,glucose_minimal,63.51974754,0.21,,,
msyb,b1051,,14.259,124,glucose_minimal,484.3578114,0.21,,,
ycei,b1056,[s],20.912,191,glucose_minimal,300.0061344,0.21,,,
