gene,bnumber,COG class,molecular_weight_kDa,sequence_length,condition,copy_number_molecule-per-fL,growth_rate_hr-1,,,,,,,,,,
murf,b0086,[m],47.447,452,rich,36.06418026,0.22,,,,,,,,,,
murd,b0088,[m],46.973,438,rich,134.085996,0.22,,,,,,,,,,
murg,b0090,[m],37.814,355,rich,50.37359906,0.22,,,,,,,,,,
murc,b0091,[m],53.625,491,rich,51.56605232,0.22,,,,,,,,,,
ddlb,b0092,[m],32.839,306,rich,,0.22,,,,,,,,,,
ftsa,b0094,[d],45.329,420,rich,216.0032592,0.22,,,,,,,,,,
ftsz,b0095,[d],40.323,383,rich,2737.085019,0.22,,,,,,,,,,
lpxc,b0096,[m],33.956,305,rich,45.09622693,0.22,,,,,,,,,,
seca,b0098,[u],102.02,901,rich,874.6496699,0.22,,,,,,,,,,
yacf,b0102,[s],28.291,247,rich,90.09715018,0.22,,,,,,,,,,
guac,b0104,[f],37.383,347,rich,415.0038202,0.22,,,,,,,,,,
nadc,b0109,[h],32.762,297,rich,147.7943308,0.22,,,,,,,,,,
arop,b0112,[e],49.69,457,rich,76.78513332,0.22,,,,,,,,,,
pdhr,b0113,[k],29.425,254,rich,,0.22,,,,,,,,,,
acee,b0114,[c],99.667,887,rich,6294.036698,0.22,,,,,,,,,,
acef,b0115,[c],66.095,630,rich,5080.517192,0.22,,,,,,,,,,
lpd,b0116,[c],50.688,474,rich,10710.00812,0.22,,,,,,,,,,
acnb,b0118,[c],93.497,865,rich,20649.46308,0.22,,,,,,,,,,
yacl,b0119,[s],13.941,120,rich,,0.22,,,,,,,,,,
sped,b0120,[e],30.384,264,rich,172.1413016,0.22,,,,,,,,,,
spee,b0121,[e],32.321,288,rich,226.3596697,0.22,,,,,,,,,,
yacc,b0122,,12.854,115,rich,,0.22,,,,,,,,,,
cueo,b0123,[q],56.556,516,rich,251.8927181,0.22,,,,,,,,,,
gcd,b0124,[g],86.746,796,rich,37.14894717,0.22,,,,,,,,,,
hpt,b0125,,20.115,178,rich,662.0151693,0.22,,,,,,,,,,
can,b0126,[p],25.096,220,rich,1900.428002,0.22,,,,,,,,,,
yadg,b0127,[v],34.647,308,rich,124.2562324,0.22,,,,,,,,,,
pand,b0131,[h],13.834,126,rich,550.7020868,0.22,,,,,,,,,,
panc,b0133,[h],31.597,283,rich,1765.756019,0.22,,,,,,,,,,
panb,b0134,[h],28.237,264,rich,1699.726098,0.22,,,,,,,,,,
pcnb,b0143,[j],53.87,465,rich,38.78738611,0.22,,,,,,,,,,
dksa,b0145,[t],17.528,151,rich,1964.652308,0.22,,,,,,,,,,
mrcb,b0149,[m],94.291,844,rich,456.5197402,0.22,,,,,,,,,,
fhua,b0150,[p],82.181,747,rich,356.1479978,0.22,,,,,,,,,,
heml,b0154,[h],45.366,426,rich,929.5228985,0.22,,,,,,,,,,
erpa,b0156,,12.1,114,rich,929.4941332,0.22,,,,,,,,,,
mtn,b0159,,24.354,232,rich,362.7020848,0.22,,,,,,,,,,
degp,b0161,[o],49.354,474,rich,2396.991179,0.22,,,,,,,,,,
yaeh,b0163,,15.096,128,rich,8195.183803,0.22,,,,,,,,,,
dapd,b0166,[e],29.892,274,rich,2809.273152,0.22,,,,,,,,,,
glnd,b0167,[o],102.39,890,rich,,0.22,,,,,,,,,,
map,b0168,[j],29.33,264,rich,487.5786917,0.22,,,,,,,,,,
rpsb,b0169,[j],26.743,241,rich,15645.55147,0.22,,,,,,,,,,
tsf,b0170,[j],30.423,283,rich,14958.16774,0.22,,,,,,,,,,
pyrh,b0171,[f],25.97,241,rich,505.1062858,0.22,,,,,,,,,,
frr,b0172,[j],20.638,185,rich,4339.164007,0.22,,,,,,,,,,
ispu,b0174,[i],28.444,253,rich,69.05254139,0.22,,,,,,,,,,
rsep,b0176,,49.071,450,rich,,0.22,,,,,,,,,,
bama,b0177,,90.552,810,rich,1962.16666,0.22,,,,,,,,,,
skp,b0178,,17.688,161,rich,9157.748153,0.22,,,,,,,,,,
lpxd,b0179,[m],36.038,341,rich,259.7398661,0.22,,,,,,,,,,
fabz,b0180,[i],17.033,151,rich,1643.577044,0.22,,,,,,,,,,
lpxa,b0181,[m],28.08,262,rich,659.1780985,0.22,,,,,,,,,,
acca,b0185,[i],35.241,319,rich,2252.154293,0.22,,,,,,,,,,
yaer,b0187,,14.737,129,rich,,0.22,,,,,,,,,,
rof,b0189,[k],9.4795,84,rich,,0.22,,,,,,,,,,
nlpe,b0192,[mp],25.844,236,rich,,0.22,,,,,,,,,,
pros,b0194,[j],63.692,572,rich,1815.483302,0.22,,,,,,,,,,
rcsf,b0196,,14.163,134,rich,207.8720894,0.22,,,,,,,,,,
metq,b0197,[p],29.431,271,rich,20892.69035,0.22,,,,,,,,,,
meti,b0198,[p],23.256,217,rich,,0.22,,,,,,,,,,
metn,b0199,[p],37.788,343,rich,225.3470109,0.22,,,,,,,,,,
gmhb,b0200,[e],21.294,191,rich,148.7095747,0.22,,,,,,,,,,
dkgb,b0207,[r],29.436,267,rich,356.7271706,0.22,,,,,,,,,,
glob,b0212,[r],28.434,251,rich,232.5264139,0.22,,,,,,,,,,
ivy,b0220,,16.872,157,rich,1227.593126,0.22,,,,,,,,,,
fade,b0221,[i],89.223,814,rich,285.3102265,0.22,,,,,,,,,,
lpca,b0222,[g],20.815,192,rich,3917.027456,0.22,,,,,,,,,,
dinj,b0226,[l],9.4057,86,rich,,0.22,,,,,,,,,,
pepd,b0237,[e],52.915,485,rich,2732.887327,0.22,,,,,,,,,,
gpt,b0238,[f],16.97,152,rich,1258.930056,0.22,,,,,,,,,,
frsa,b0239,[r],47.008,414,rich,205.0613438,0.22,,,,,,,,,,
crl,b0240,,15.655,133,rich,1924.243336,0.22,,,,,,,,,,
prob,b0242,[e],39.056,367,rich,420.3831921,0.22,,,,,,,,,,
proa,b0243,[e],44.63,417,rich,712.0984778,0.22,,,,,,,,,,
insh,b0259,,39.327,338,rich,55.28358789,0.22,,,,,,,,,,
argf,b0273,[e],36.827,334,rich,33.09513817,0.22,,,,,,,,,,
yagu,b0287,[s],22.967,204,rich,65.79881411,0.22,,,,,,,,,,
betb,b0312,[c],52.911,490,rich,155.686647,0.22,,,,,,,,,,
yahk,b0325,[r],37.978,349,rich,3927.966694,0.22,,,,,,,,,,
yaho,b0329,,9.8953,91,rich,982.2767637,0.22,,,,,,,,,,
prpb,b0331,[g],32.134,296,rich,1536.295512,0.22,,,,,,,,,,
prpc,b0333,[c],43.102,389,rich,708.975148,0.22,,,,,,,,,,
prpd,b0334,[r],53.951,483,rich,514.1143436,0.22,,,,,,,,,,
codb,b0336,[f],43.649,419,rich,,0.22,,,,,,,,,,
coda,b0337,[fr],47.59,427,rich,591.6358199,0.22,,,,,,,,,,
laci,b0345,,38.59,360,rich,,0.22,,,,,,,,,,
mhpr,b0346,[k],31.322,277,rich,112.0378828,0.22,,,,,,,,,,
yail,b0354,,19.923,179,rich,216.0016311,0.22,,,,,,,,,,
frma,b0356,[c],39.359,369,rich,401.1111391,0.22,,,,,,,,,,
frmr,b0357,,10.318,91,rich,153.6651832,0.22,,,,,,,,,,
hemb,b0369,,35.624,324,rich,404.3559375,0.22,,,,,,,,,,
ddla,b0381,[m],39.315,364,rich,110.6793793,0.22,,,,,,,,,,
irap,b0382,,9.9374,86,rich,1181.343404,0.22,,,,,,,,,,
psif,b0384,,11.686,106,rich,1142.197368,0.22,,,,,,,,,,
proc,b0386,[e],28.145,269,rich,1207.009064,0.22,,,,,,,,,,
arol,b0388,[e],19.151,174,rich,,0.22,,,,,,,,,,
yaie,b0391,[s],10.234,94,rich,335.3663585,0.22,,,,,,,,,,
rdgc,b0393,[l],33.993,303,rich,309.279263,0.22,,,,,,,,,,
mak,b0394,[kg],32.499,302,rich,153.0770125,0.22,,,,,,,,,,
quea,b0405,[j],39.43,356,rich,71.09077816,0.22,,,,,,,,,,
tgt,b0406,[j],42.593,375,rich,204.9312655,0.22,,,,,,,,,,
yajc,b0407,[u],11.887,110,rich,7363.552734,0.22,,,,,,,,,,
secd,b0408,[u],66.631,615,rich,624.665103,0.22,,,,,,,,,,
secf,b0409,[u],35.382,323,rich,176.5891055,0.22,,,,,,,,,,
yajd,b0410,,13.364,115,rich,169.3758391,0.22,,,,,,,,,,
tsx,b0411,[m],33.589,294,rich,1867.435082,0.22,,,,,,,,,,
nrdr,b0413,,17.229,149,rich,323.7211335,0.22,,,,,,,,,,
ribd,b0414,[h],40.338,367,rich,,0.22,,,,,,,,,,
ribe,b0415,[h],16.156,156,rich,3520.329714,0.22,,,,,,,,,,
nusb,b0416,[k],15.689,139,rich,988.0244136,0.22,,,,,,,,,,
thil,b0417,[h],35.07,325,rich,,0.22,,,,,,,,,,
yajo,b0419,[c],36.42,324,rich,209.9145725,0.22,,,,,,,,,,
dxs,b0420,[hi],67.616,620,rich,148.5833491,0.22,,,,,,,,,,
ispa,b0421,[h],32.159,299,rich,95.16886775,0.22,,,,,,,,,,
xseb,b0422,[l],8.9518,80,rich,,0.22,,,,,,,,,,
thii,b0423,[h],54.972,482,rich,71.97542116,0.22,,,,,,,,,,
yajl,b0424,,20.777,196,rich,180.6565376,0.22,,,,,,,,,,
yajq,b0426,[s],18.344,163,rich,7525.316139,0.22,,,,,,,,,,
cyod,b0429,[c],12.029,109,rich,185.327301,0.22,,,,,,,,,,
cyob,b0431,[c],74.367,663,rich,407.5238693,0.22,,,,,,,,,,
cyoa,b0432,[c],34.911,315,rich,2871.887896,0.22,,,,,,,,,,
yajg,b0434,,20.95,192,rich,1833.873042,0.22,,,,,,,,,,
bola,b0435,,11.994,105,rich,173.4942111,0.22,,,,,,,,,,
tig,b0436,[o],48.192,432,rich,11187.24898,0.22,,,,,,,,,,
clpp,b0437,[ou],23.186,207,rich,1563.396,0.22,,,,,,,,,,
clpx,b0438,[o],46.355,424,rich,1196.40557,0.22,,,,,,,,,,
lon,b0439,[o],87.437,784,rich,793.028468,0.22,,,,,,,,,,
hupb,b0440,[l],9.2255,90,rich,51282.98793,0.22,,,,,,,,,,
ppid,b0441,[o],68.149,623,rich,1325.639093,0.22,,,,,,,,,,
quec,b0444,,25.514,231,rich,112.2318753,0.22,,,,,,,,,,
glnk,b0450,[e],12.259,112,rich,134.4270247,0.22,,,,,,,,,,
tesb,b0452,[i],31.966,286,rich,106.116704,0.22,,,,,,,,,,
ybay,b0453,,19.431,190,rich,1697.056737,0.22,,,,,,,,,,
ylac,b0458,,18.267,156,rich,,0.22,,,,,,,,,,
acrb,b0462,[v],113.57,1049,rich,196.0791018,0.22,,,,,,,,,,
acra,b0463,[m],42.196,397,rich,1966.910716,0.22,,,,,,,,,,
kefa,b0465,[m],127.21,1120,rich,10.2996774,0.22,,,,,,,,,,
ybam,b0466,,6.0248,53,rich,,0.22,,,,,,,,,,
apt,b0469,[f],19.859,183,rich,460.5337727,0.22,,,,,,,,,,
ybab,b0471,[s],12.015,109,rich,2891.819726,0.22,,,,,,,,,,
htpg,b0473,[o],71.422,624,rich,1997.384281,0.22,,,,,,,,,,
adk,b0474,[f],23.586,214,rich,4141.555448,0.22,,,,,,,,,,
hemh,b0475,,35.884,320,rich,,0.22,,,,,,,,,,
gsk,b0477,[g],48.448,434,rich,,0.22,,,,,,,,,,
usha,b0480,[f],60.823,550,rich,268.0543881,0.22,,,,,,,,,,
ybak,b0481,[s],17.093,159,rich,175.1593984,0.22,,,,,,,,,,
copa,b0484,[p],87.872,834,rich,203.59599,0.22,,,,,,,,,,
ybbl,b0490,[r],25.382,225,rich,,0.22,,,,,,,,,,
ybbn,b0492,,31.791,284,rich,813.0782709,0.22,,,,,,,,,,
ybbo,b0493,[iqr],29.41,269,rich,,0.22,,,,,,,,,,
ybba,b0495,[q],24.533,228,rich,,0.22,,,,,,,,,,
allr,b0506,[k],29.269,271,rich,72.13030651,0.22,,,,,,,,,,
purk,b0522,[f],39.461,355,rich,37.97649078,0.22,,,,,,,,,,
pure,b0523,[f],17.78,169,rich,582.4571954,0.22,,,,,,,,,,
ppib,b0525,[o],18.153,164,rich,3779.604859,0.22,,,,,,,,,,
cyss,b0526,[j],52.202,461,rich,383.1367999,0.22,,,,,,,,,,
ybcj,b0528,[s],7.3895,70,rich,722.9406805,0.22,,,,,,,,,,
fold,b0529,[h],31.043,288,rich,294.4462979,0.22,,,,,,,,,,
nmpc,b0553,[m],40.302,365,rich,,0.22,,,,,,,,,,
bord,b0557,,10.447,97,rich,1066.174988,0.22,,,,,,,,,,
ompt,b0565,[m],35.562,317,rich,6016.464456,0.22,,,,,,,,,,
cusr,b0571,[tk],25.394,227,rich,,0.22,,,,,,,,,,
cusc,b0572,[mu],50.269,457,rich,598.3032442,0.22,,,,,,,,,,
cusb,b0574,[m],44.304,407,rich,332.6071301,0.22,,,,,,,,,,
nfsb,b0578,,23.905,217,rich,2350.48671,0.22,,,,,,,,,,
fepa,b0584,[p],82.106,746,rich,37.14869928,0.22,,,,,,,,,,
fepb,b0592,[p],34.283,318,rich,,0.22,,,,,,,,,,
ente,b0594,[q],59.111,536,rich,,0.22,,,,,,,,,,
entb,b0595,[q],32.554,285,rich,101.3792886,0.22,,,,,,,,,,
enta,b0596,[iqr],26.249,248,rich,,0.22,,,,,,,,,,
csta,b0598,[t],75.104,701,rich,1103.785358,0.22,,,,,,,,,,
ybdh,b0599,[c],39.091,362,rich,39.46777704,0.22,,,,,,,,,,
ybdl,b0600,[e],42.962,386,rich,,0.22,,,,,,,,,,
dsbg,b0604,[o],27.495,248,rich,,0.22,,,,,,,,,,
ahpc,b0605,[o],20.761,187,rich,58897.71362,0.22,,,,,,,,,,
ahpf,b0606,[o],56.176,521,rich,1255.520725,0.22,,,,,,,,,,
uspg,b0607,[t],15.935,142,rich,3276.740338,0.22,,,,,,,,,,
rnk,b0610,[k],14.927,136,rich,594.357072,0.22,,,,,,,,,,
cspe,b0623,[k],7.4634,69,rich,20870.70567,0.22,,,,,,,,,,
tate,b0627,[u],7.0242,67,rich,,0.22,,,,,,,,,,
lipa,b0628,[h],36.071,321,rich,570.7000211,0.22,,,,,,,,,,
ybed,b0631,[s],9.8272,87,rich,2303.123075,0.22,,,,,,,,,,
daca,b0632,[m],44.443,403,rich,924.2676857,0.22,,,,,,,,,,
rlpa,b0633,[m],37.528,362,rich,187.3123057,0.22,,,,,,,,,,
ybeb,b0637,,11.582,105,rich,147.4286666,0.22,,,,,,,,,,
lpte,b0641,,21.356,193,rich,472.2742438,0.22,,,,,,,,,,
leus,b0642,[j],97.233,860,rich,1414.55249,0.22,,,,,,,,,,
ybel,b0643,,18.797,160,rich,1267.375732,0.22,,,,,,,,,,
hscc,b0650,[o],61.986,556,rich,,0.22,,,,,,,,,,
riha,b0651,[f],33.823,311,rich,113.8853121,0.22,,,,,,,,,,
gltl,b0652,[e],26.661,241,rich,87.12115429,0.22,,,,,,,,,,
glti,b0655,[et],33.42,302,rich,3118.424036,0.22,,,,,,,,,,
lnt,b0657,[m],57.065,512,rich,,0.22,,,,,,,,,,
ybex,b0658,[p],33.298,292,rich,168.8402418,0.22,,,,,,,,,,
ybez,b0660,[t],39.038,346,rich,693.4284178,0.22,,,,,,,,,,
miab,b0661,[j],53.662,474,rich,146.8952763,0.22,,,,,,,,,,
ubif,b0662,[hc],42.953,391,rich,48.29750522,0.22,,,,,,,,,,
asnb,b0674,[e],62.658,554,rich,200.9282216,0.22,,,,,,,,,,
nagd,b0675,[g],27.163,250,rich,217.066324,0.22,,,,,,,,,,
nagc,b0676,[kg],44.541,406,rich,,0.22,,,,,,,,,,
naga,b0677,[g],40.949,382,rich,106.7973501,0.22,,,,,,,,,,
nagb,b0678,[g],29.774,266,rich,882.973697,0.22,,,,,,,,,,
nage,b0679,[g],68.346,648,rich,843.4394698,0.22,,,,,,,,,,
glns,b0680,[j],63.477,554,rich,791.2747997,0.22,,,,,,,,,,
fur,b0683,[p],16.795,148,rich,4229.711104,0.22,,,,,,,,,,
flda,b0684,[c],19.737,176,rich,2360.098382,0.22,,,,,,,,,,
ybff,b0686,[r],28.437,254,rich,151.1269868,0.22,,,,,,,,,,
seqa,b0687,[l],20.315,181,rich,596.0377087,0.22,,,,,,,,,,
pgm,b0688,[g],58.36,546,rich,1758.638898,0.22,,,,,,,,,,
ybgi,b0710,[s],26.892,247,rich,983.1244203,0.22,,,,,,,,,,
ybgk,b0712,[e],34.386,310,rich,44.9661789,0.22,,,,,,,,,,
glta,b0720,[c],48.014,427,rich,23151.21343,0.22,,,,,,,,,,
sdhd,b0722,[c],12.867,115,rich,1697.802594,0.22,,,,,,,,,,
sdha,b0723,[c],64.421,588,rich,7675.076317,0.22,,,,,,,,,,
sdhb,b0724,[c],26.77,238,rich,7017.287381,0.22,,,,,,,,,,
suca,b0726,[c],105.06,933,rich,3842.073229,0.22,,,,,,,,,,
sucb,b0727,[c],44.011,405,rich,8355.872967,0.22,,,,,,,,,,
succ,b0728,[c],41.392,388,rich,28651.67209,0.22,,,,,,,,,,
sucd,b0729,[c],29.777,289,rich,20852.96497,0.22,,,,,,,,,,
cyda,b0733,[c],58.204,522,rich,1267.171734,0.22,,,,,,,,,,
cydb,b0734,[c],42.453,379,rich,461.0889033,0.22,,,,,,,,,,
tolq,b0737,[u],25.597,230,rich,153.5090602,0.22,,,,,,,,,,
tolr,b0738,[u],15.383,142,rich,,0.22,,,,,,,,,,
tola,b0739,[m],43.156,421,rich,,0.22,,,,,,,,,,
tolb,b0740,[u],45.955,430,rich,1202.754235,0.22,,,,,,,,,,
pal,b0741,[m],18.824,173,rich,10463.67393,0.22,,,,,,,,,,
ybgf,b0742,[s],28.231,263,rich,691.7893756,0.22,,,,,,,,,,
nada,b0750,[h],38.24,347,rich,140.1241305,0.22,,,,,,,,,,
ybgs,b0753,,12.872,126,rich,,0.22,,,,,,,,,,
arog,b0754,[e],38.009,350,rich,1552.356356,0.22,,,,,,,,,,
gpma,b0755,[g],28.556,250,rich,9062.773971,0.22,,,,,,,,,,
galm,b0756,[g],38.19,346,rich,658.9970512,0.22,,,,,,,,,,
galk,b0757,[g],41.442,382,rich,454.6183846,0.22,,,,,,,,,,
galt,b0758,[c],39.645,348,rich,48.86819476,0.22,,,,,,,,,,
gale,b0759,,37.265,338,rich,660.3798603,0.22,,,,,,,,,,
modf,b0760,[p],54.535,490,rich,40.33748006,0.22,,,,,,,,,,
mode,b0761,[r],28.281,262,rich,,0.22,,,,,,,,,,
moda,b0763,[p],27.364,257,rich,351.788361,0.22,,,,,,,,,,
modc,b0765,[p],39.102,352,rich,60.70352206,0.22,,,,,,,,,,
ybha,b0766,[r],30.201,272,rich,103.6770225,0.22,,,,,,,,,,
pgl,b0767,,36.307,331,rich,1270.15773,0.22,,,,,,,,,,
ybhc,b0772,[g],46.082,427,rich,385.7294326,0.22,,,,,,,,,,
ybhb,b0773,,17.085,158,rich,,0.22,,,,,,,,,,
bioa,b0774,[h],47.335,429,rich,,0.22,,,,,,,,,,
biob,b0775,[h],38.648,346,rich,,0.22,,,,,,,,,,
biod,b0778,[h],24.139,225,rich,93.95219375,0.22,,,,,,,,,,
uvrb,b0779,[l],76.225,673,rich,136.8923539,0.22,,,,,,,,,,
moab,b0782,[h],18.665,170,rich,2049.280681,0.22,,,,,,,,,,
moac,b0783,[h],17.467,161,rich,203.2692861,0.22,,,,,,,,,,
moad,b0784,[h],8.7578,81,rich,,0.22,,,,,,,,,,
moae,b0785,[h],16.981,150,rich,224.5735624,0.22,,,,,,,,,,
ybhm,b0787,[r],26.123,237,rich,,0.22,,,,,,,,,,
ybhg,b0795,[m],36.415,332,rich,20.92550458,0.22,,,,,,,,,,
rhle,b0797,[lkj],49.989,454,rich,,0.22,,,,,,,,,,
ybib,b0800,[e],35.048,320,rich,318.7096925,0.22,,,,,,,,,,
ybic,b0801,[c],38.897,361,rich,403.5760859,0.22,,,,,,,,,,
fiu,b0805,[p],81.959,760,rich,23.48844194,0.22,,,,,,,,,,
rlmf,b0807,,34.226,308,rich,,0.22,,,,,,,,,,
glnq,b0809,[e],26.731,240,rich,854.7794958,0.22,,,,,,,,,,
glnh,b0811,[et],27.19,248,rich,16426.87547,0.22,,,,,,,,,,
dps,b0812,[p],18.695,167,rich,25940.01784,0.22,,,,,,,,,,
ompx,b0814,[m],18.602,171,rich,2196.935306,0.22,,,,,,,,,,
ybis,b0819,[s],33.325,306,rich,1049.929172,0.22,,,,,,,,,,
ybit,b0820,[r],59.857,530,rich,168.6359181,0.22,,,,,,,,,,
ybiu,b0821,,47.329,421,rich,,0.22,,,,,,,,,,
ybiv,b0822,[r],30.412,271,rich,,0.22,,,,,,,,,,
moea,b0827,[h],44.067,411,rich,195.6948649,0.22,,,,,,,,,,
gsib,b0830,,56.47,512,rich,153.0710214,0.22,,,,,,,,,,
rimo,b0835,,49.581,441,rich,89.75373638,0.22,,,,,,,,,,
gstb,b0838,,23.713,208,rich,1112.619074,0.22,,,,,,,,,,
dacc,b0839,[m],43.608,400,rich,1083.832827,0.22,,,,,,,,,,
deor,b0840,,28.548,252,rich,,0.22,,,,,,,,,,
nfsa,b0851,[c],26.8,240,rich,331.0322971,0.22,,,,,,,,,,
potf,b0854,[e],40.839,370,rich,2012.192243,0.22,,,,,,,,,,
potg,b0855,,41.93,377,rich,,0.22,,,,,,,,,,
artj,b0860,[et],26.829,243,rich,1067.239917,0.22,,,,,,,,,,
arti,b0863,[et],26.929,243,rich,2060.558898,0.22,,,,,,,,,,
artp,b0864,[e],27.022,242,rich,209.0453438,0.22,,,,,,,,,,
ybjp,b0865,,18.991,171,rich,3308.209762,0.22,,,,,,,,,,
ybjq,b0866,[s],11.437,107,rich,502.4300103,0.22,,,,,,,,,,
ltae,b0870,[e],36.494,333,rich,200.479331,0.22,,,,,,,,,,
poxb,b0871,[eh],62.011,572,rich,687.5331751,0.22,,,,,,,,,,
maca,b0878,,40.623,371,rich,48.26970166,0.22,,,,,,,,,,
cspd,b0880,[k],7.9689,74,rich,2536.134028,0.22,,,,,,,,,,
clps,b0881,,12.179,106,rich,,0.22,,,,,,,,,,
clpa,b0882,[o],84.206,758,rich,209.485764,0.22,,,,,,,,,,
infa,b0884,[j],8.2495,72,rich,2551.586755,0.22,,,,,,,,,,
cydc,b0886,[co],62.919,573,rich,,0.22,,,,,,,,,,
cydd,b0887,[co],65.055,588,rich,25.24902949,0.22,,,,,,,,,,
trxb,b0888,[o],34.623,321,rich,1413.90317,0.22,,,,,,,,,,
lrp,b0889,[k],18.887,164,rich,7153.215827,0.22,,,,,,,,,,
lola,b0891,[m],22.497,203,rich,,0.22,,,,,,,,,,
sers,b0893,[j],48.413,430,rich,1630.582711,0.22,,,,,,,,,,
ycac,b0897,[q],23.1,208,rich,2896.589949,0.22,,,,,,,,,,
pfla,b0902,[o],28.204,246,rich,215.0519651,0.22,,,,,,,,,,
pflb,b0903,[c],85.356,760,rich,12768.75996,0.22,,,,,,,,,,
ycao,b0905,,65.651,586,rich,39.81196646,0.22,,,,,,,,,,
serc,b0907,[he],39.783,362,rich,4508.057155,0.22,,,,,,,,,,
aroa,b0908,[e],46.095,427,rich,260.4565838,0.22,,,,,,,,,,
cmk,b0910,[f],24.746,227,rich,263.0618193,0.22,,,,,,,,,,
rpsa,b0911,[j],61.157,557,rich,12458.02261,0.22,,,,,,,,,,
ihfb,b0912,[l],10.651,94,rich,5343.071409,0.22,,,,,,,,,,
msba,b0914,[v],64.46,582,rich,57.67276401,0.22,,,,,,,,,,
ycar,b0917,[s],6.8549,60,rich,1122.92884,0.22,,,,,,,,,,
kdsb,b0918,[m],27.614,248,rich,243.5267126,0.22,,,,,,,,,,
mukf,b0922,[d],50.578,440,rich,,0.22,,,,,,,,,,
muke,b0923,[d],26.974,234,rich,173.1389658,0.22,,,,,,,,,,
mukb,b0924,[d],170.23,1486,rich,88.98142478,0.22,,,,,,,,,,
ycbl,b0927,[r],23.784,215,rich,290.555732,0.22,,,,,,,,,,
aspc,b0928,[e],43.573,396,rich,9775.842288,0.22,,,,,,,,,,
ompf,b0929,[m],39.333,362,rich,63721.604,0.22,,,,,,,,,,
asns,b0930,[j],52.57,466,rich,2046.020987,0.22,,,,,,,,,,
pncb,b0931,[h],45.897,400,rich,332.8005801,0.22,,,,,,,,,,
pepn,b0932,[e],98.918,870,rich,1004.984745,0.22,,,,,,,,,,
pyrd,b0945,[f],36.774,336,rich,186.0377808,0.22,,,,,,,,,,
ycbx,b0947,[r],40.644,369,rich,37.2768968,0.22,,,,,,,,,,
uup,b0949,[r],72.066,635,rich,25.10550236,0.22,,,,,,,,,,
pqib,b0951,[r],60.52,546,rich,13.16707464,0.22,,,,,,,,,,
rmf,b0953,[j],6.5074,55,rich,3358.554485,0.22,,,,,,,,,,
faba,b0954,[i],18.969,172,rich,11486.79106,0.22,,,,,,,,,,
ycbz,b0955,[o],65.818,586,rich,,0.22,,,,,,,,,,
matp,b0956,,17.693,150,rich,,0.22,,,,,,,,,,
ompa,b0957,[m],37.2,346,rich,64740.81769,0.22,,,,,,,,,,
yccf,b0961,[s],16.275,148,rich,,0.22,,,,,,,,,,
