frac_count,frac_mass,group,condition,growth_rate_hr
0.0574465850613207,0.032839887199612026,Not Assigned,pH6,0.63
0.08327304339708508,0.0521199537051304,Poorly Characterized,pH6,0.63
0.17263486395307182,0.16129516943065092,Cellular Processes and Signaling,pyruvate,0.4
0.32375059627693303,0.24159831955789654,Information Storage and Processing,pyruvate,0.4
0.41302163455551744,0.533338908241634,Metabolism,pyruvate,0.4
0.028501079524664314,0.025776693660151263,Not Assigned,pyruvate,0.4
0.06209182568981339,0.037990909109667084,Poorly Characterized,pyruvate,0.4
0.21289665413148062,0.22500415310591948,Cellular Processes and Signaling,stationary_1day,-0.01
0.27304260957221416,0.22511973702837387,Information Storage and Processing,stationary_1day,-0.01
0.2996049303723735,0.4303897945999208,Metabolism,stationary_1day,-0.01
0.08441904543451623,0.04774152049606284,Not Assigned,stationary_1day,-0.01
0.1300367604894155,0.071744794769723,Poorly Characterized,stationary_1day,-0.01
0.20283114668159122,0.22335666007919708,Cellular Processes and Signaling,stationary_3day,-0.01
0.27344092619399324,0.22337525112657686,Information Storage and Processing,stationary_3day,-0.01
0.3068763419701223,0.435054068285733,Metabolism,stationary_3day,-0.01
0.08791088902332775,0.0490927840142637,Not Assigned,stationary_3day,-0.01
0.1289406961309655,0.06912123649422935,Poorly Characterized,stationary_3day,-0.01
0.16177361112708638,0.1590634421899832,Cellular Processes and Signaling,succinate,0.44
0.34503467234649476,0.25786130840729077,Information Storage and Processing,succinate,0.44
0.40595141518699973,0.5256990087966743,Metabolism,succinate,0.44
0.024942844248801912,0.02110579835024192,Not Assigned,succinate,0.44
0.06229745709061721,0.03627044225580977,Poorly Characterized,succinate,0.44
0.17553245438682252,0.171946454604625,Cellular Processes and Signaling,xylose,0.55
0.381095163422871,0.28544714713844066,Information Storage and Processing,xylose,0.55
0.35633472597539995,0.48463250385173856,Metabolism,xylose,0.55
0.02585781636027525,0.01993871240140177,Not Assigned,xylose,0.55
0.06117983985463134,0.038035182003793945,Poorly Characterized,xylose,0.55
