go_number,go_term,go_namespace,gene_name
GO:0006629,lipid metabolic process,biological_process,accC
GO:0046872,metal ion binding,molecular_function,accC
GO:2001295,malonyl-CoA biosynthetic process,biological_process,accC
GO:0005829,cytosol,cellular_component,accC
GO:0005524,ATP binding,molecular_function,accC
GO:0000166,nucleotide binding,molecular_function,accC
GO:0003989,acetyl-CoA carboxylase activity,molecular_function,accC
GO:0003989,acetyl-CoA carboxylase activity,molecular_function,accD
GO:0006633,fatty acid biosynthetic process,biological_process,accD
GO:0042759,long-chain fatty acid biosynthetic process,biological_process,accD
GO:0016743,carboxyl- or carbamoyltransferase activity,molecular_function,accD
GO:0016740,transferase activity,molecular_function,accD
GO:0009317,acetyl-CoA carboxylase complex,cellular_component,accD
GO:0006631,fatty acid metabolic process,biological_process,accD
GO:0006629,lipid metabolic process,biological_process,accD
GO:0006417,regulation of translation,biological_process,accD
GO:0005737,cytoplasm,cellular_component,accD
GO:0003723,RNA binding,molecular_function,accD
GO:0046872,metal ion binding,molecular_function,accD
GO:2001295,malonyl-CoA biosynthetic process,biological_process,accD
GO:0005524,ATP binding,molecular_function,accD
GO:0000166,nucleotide binding,molecular_function,accD
GO:0017148,negative regulation of translation,biological_process,accD
GO:0003677,DNA binding,molecular_function,accD
GO:0009329,acetate CoA-transferase complex,cellular_component,accD
GO:0003729,mRNA binding,molecular_function,accD
GO:0008270,zinc ion binding,molecular_function,accD
GO:0005515,protein binding,molecular_function,accD
GO:0004451,isocitrate lyase activity,molecular_function,aceA
GO:0043169,cation binding,molecular_function,aceA
GO:0006097,glyoxylate cycle,biological_process,aceA
GO:0046872,metal ion binding,molecular_function,aceA
GO:0016829,lyase activity,molecular_function,aceA
GO:0003824,catalytic activity,molecular_function,aceA
GO:0019752,carboxylic acid metabolic process,biological_process,aceA
GO:0006099,tricarboxylic acid cycle,biological_process,aceA
GO:0005737,cytoplasm,cellular_component,aceB
GO:0004474,malate synthase activity,molecular_function,aceB
GO:0006097,glyoxylate cycle,biological_process,aceB
GO:0016740,transferase activity,molecular_function,aceB
GO:0003824,catalytic activity,molecular_function,aceB
GO:0006099,tricarboxylic acid cycle,biological_process,aceB
GO:0004738,pyruvate dehydrogenase activity,molecular_function,aceE
GO:0045250,cytosolic pyruvate dehydrogenase complex,cellular_component,aceE
GO:0030976,thiamine pyrophosphate binding,molecular_function,aceE
GO:0000287,magnesium ion binding,molecular_function,aceE
GO:0016491,oxidoreductase activity,molecular_function,aceE
GO:0003824,catalytic activity,molecular_function,aceE
GO:0042802,identical protein binding,molecular_function,aceE
GO:0055114,oxidation-reduction process,biological_process,aceE
GO:0046872,metal ion binding,molecular_function,aceE
GO:0006096,glycolytic process,biological_process,aceE
GO:0005515,protein binding,molecular_function,aceE
GO:0004739,pyruvate dehydrogenase (acetyl-transferring) activity,molecular_function,aceE
GO:0005737,cytoplasm,cellular_component,aceF
GO:0045254,pyruvate dehydrogenase complex,cellular_component,aceF
GO:0004742,dihydrolipoyllysine-residue acetyltransferase activity,molecular_function,aceF
GO:0031405,lipoic acid binding,molecular_function,aceF
GO:0004738,pyruvate dehydrogenase activity,molecular_function,aceF
GO:0006090,pyruvate metabolic process,biological_process,aceF
GO:0006086,acetyl-CoA biosynthetic process from pyruvate,biological_process,aceF
GO:0016746,"transferase activity, transferring acyl groups",molecular_function,aceF
GO:0016740,transferase activity,molecular_function,aceF
GO:0006096,glycolytic process,biological_process,aceF
GO:0005515,protein binding,molecular_function,aceF
GO:0016407,acetyltransferase activity,molecular_function,aceF
GO:0005524,ATP binding,molecular_function,aceK
GO:0008772,[isocitrate dehydrogenase (NADP+)] kinase activity,molecular_function,aceK
GO:0006099,tricarboxylic acid cycle,biological_process,aceK
GO:0006097,glyoxylate cycle,biological_process,aceK
GO:0005737,cytoplasm,cellular_component,aceK
GO:0016788,"hydrolase activity, acting on ester bonds",molecular_function,aceK
GO:0005515,protein binding,molecular_function,aceK
GO:0070262,peptidyl-serine dephosphorylation,biological_process,aceK
GO:0016791,phosphatase activity,molecular_function,aceK
GO:0016787,hydrolase activity,molecular_function,aceK
GO:0016740,transferase activity,molecular_function,aceK
GO:0016310,phosphorylation,biological_process,aceK
GO:0016301,kinase activity,molecular_function,aceK
GO:0004721,phosphoprotein phosphatase activity,molecular_function,aceK
GO:0000166,nucleotide binding,molecular_function,aceK
GO:0006006,glucose metabolic process,biological_process,aceK
GO:0016208,AMP binding,molecular_function,aceK
GO:0018105,peptidyl-serine phosphorylation,biological_process,aceK
GO:0004722,protein serine/threonine phosphatase activity,molecular_function,aceK
GO:0004674,protein serine/threonine kinase activity,molecular_function,aceK
GO:0050790,regulation of catalytic activity,biological_process,aceK
GO:0006470,protein dephosphorylation,biological_process,aceK
GO:0019542,propionate biosynthetic process,biological_process,ackA
GO:0019413,acetate biosynthetic process,biological_process,ackA
GO:0008776,acetate kinase activity,molecular_function,ackA
GO:0008270,zinc ion binding,molecular_function,ackA
GO:0000287,magnesium ion binding,molecular_function,ackA
GO:0044011,single-species biofilm formation on inanimate substrate,biological_process,ackA
GO:0006083,acetate metabolic process,biological_process,ackA
GO:0046872,metal ion binding,molecular_function,ackA
GO:0016774,"phosphotransferase activity, carboxyl group as acceptor",molecular_function,ackA
GO:0016740,transferase activity,molecular_function,ackA
GO:0016301,kinase activity,molecular_function,ackA
GO:0006082,organic acid metabolic process,biological_process,ackA
GO:0005737,cytoplasm,cellular_component,ackA
GO:0006085,acetyl-CoA biosynthetic process,biological_process,ackA
GO:0005524,ATP binding,molecular_function,ackA
GO:0000166,nucleotide binding,molecular_function,ackA
GO:0005829,cytosol,cellular_component,ackA
GO:0016310,phosphorylation,biological_process,ackA
GO:0003994,aconitate hydratase activity,molecular_function,acnA
GO:0003729,mRNA binding,molecular_function,acnA
GO:0006099,tricarboxylic acid cycle,biological_process,acnA
GO:0006097,glyoxylate cycle,biological_process,acnA
GO:0005506,iron ion binding,molecular_function,acnA
GO:0046872,metal ion binding,molecular_function,acnA
GO:0051539,"4 iron, 4 sulfur cluster binding",molecular_function,acnA
GO:0006979,response to oxidative stress,biological_process,acnA
GO:0009061,anaerobic respiration,biological_process,acnA
GO:0005737,cytoplasm,cellular_component,acnA
GO:0003723,RNA binding,molecular_function,acnA
GO:0005829,cytosol,cellular_component,acnA
GO:0051536,iron-sulfur cluster binding,molecular_function,acnA
GO:0016829,lyase activity,molecular_function,acnA
GO:0003730,mRNA 3'-UTR binding,molecular_function,acnA
GO:0006101,citrate metabolic process,biological_process,acnA
GO:0003994,aconitate hydratase activity,molecular_function,acnB
GO:0006097,glyoxylate cycle,biological_process,acnB
GO:0006099,tricarboxylic acid cycle,biological_process,acnB
GO:0003729,mRNA binding,molecular_function,acnB
GO:0003723,RNA binding,molecular_function,acnB
GO:0051536,iron-sulfur cluster binding,molecular_function,acnB
GO:0016829,lyase activity,molecular_function,acnB
GO:0005829,cytosol,cellular_component,acnB
GO:0003730,mRNA 3'-UTR binding,molecular_function,acnB
GO:0006417,regulation of translation,biological_process,acnB
GO:0019629,"propionate catabolic process, 2-methylcitrate cycle",biological_process,acnB
GO:0051539,"4 iron, 4 sulfur cluster binding",molecular_function,acnB
GO:0046872,metal ion binding,molecular_function,acnB
GO:0005515,protein binding,molecular_function,acnB
GO:0047456,2-methylisocitrate dehydratase activity,molecular_function,acnB
GO:0000036,acyl carrier activity,molecular_function,acpP
GO:0006633,fatty acid biosynthetic process,biological_process,acpP
GO:0008610,lipid biosynthetic process,biological_process,acpP
GO:0031177,phosphopantetheine binding,molecular_function,acpP
GO:0005737,cytoplasm,cellular_component,acpP
GO:0042493,response to drug,biological_process,acpP
GO:0000035,acyl binding,molecular_function,acpP
GO:0009245,lipid A biosynthetic process,biological_process,acpP
GO:0008289,lipid binding,molecular_function,acpP
GO:0006631,fatty acid metabolic process,biological_process,acpP
GO:0006629,lipid metabolic process,biological_process,acpP
GO:0005829,cytosol,cellular_component,acpP
GO:0005515,protein binding,molecular_function,acpP
GO:0016740,transferase activity,molecular_function,acpS
GO:0006633,fatty acid biosynthetic process,biological_process,acpS
GO:0008897,holo-[acyl-carrier-protein] synthase activity,molecular_function,acpS
GO:0018070,peptidyl-serine phosphopantetheinylation,biological_process,acpS
GO:0006631,fatty acid metabolic process,biological_process,acpS
GO:0006629,lipid metabolic process,biological_process,acpS
GO:0000287,magnesium ion binding,molecular_function,acpS
GO:0046872,metal ion binding,molecular_function,acpS
GO:0005737,cytoplasm,cellular_component,acpS
GO:0042910,xenobiotic transmembrane transporter activity,molecular_function,acrA
GO:0009636,response to toxic substance,biological_process,acrA
GO:0015895,alkane transport,biological_process,acrA
GO:0015908,fatty acid transport,biological_process,acrA
GO:0042493,response to drug,biological_process,acrA
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,biological_process,acrA
GO:0015125,bile acid transmembrane transporter activity,molecular_function,acrA
GO:0015567,alkane transmembrane transporter activity,molecular_function,acrA
GO:0005215,transporter activity,molecular_function,acrA
GO:0005515,protein binding,molecular_function,acrA
GO:1990281,efflux pump complex,cellular_component,acrA
GO:0015721,bile acid and bile salt transport,biological_process,acrA
GO:0042802,identical protein binding,molecular_function,acrA
GO:0055085,transmembrane transport,biological_process,acrA
GO:0016020,membrane,cellular_component,acrA
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,acrA
GO:0005886,plasma membrane,cellular_component,acrA
GO:0046677,response to antibiotic,biological_process,acrA
GO:0031226,intrinsic component of plasma membrane,cellular_component,acrA
GO:0055085,transmembrane transport,biological_process,acrB
GO:0022857,transmembrane transporter activity,molecular_function,acrB
GO:0015562,efflux transmembrane transporter activity,molecular_function,acrB
GO:0006855,drug transmembrane transport,biological_process,acrB
GO:0046677,response to antibiotic,biological_process,acrB
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,acrB
GO:0015567,alkane transmembrane transporter activity,molecular_function,acrB
GO:0015895,alkane transport,biological_process,acrB
GO:0015908,fatty acid transport,biological_process,acrB
GO:0042931,enterobactin transmembrane transporter activity,molecular_function,acrB
GO:0042930,enterobactin transport,biological_process,acrB
GO:0015125,bile acid transmembrane transporter activity,molecular_function,acrB
GO:0009636,response to toxic substance,biological_process,acrB
GO:0015721,bile acid and bile salt transport,biological_process,acrB
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,biological_process,acrB
GO:1990281,efflux pump complex,cellular_component,acrB
GO:0042802,identical protein binding,molecular_function,acrB
GO:0046618,drug export,biological_process,acrB
GO:0005515,protein binding,molecular_function,acrB
GO:0005887,integral component of plasma membrane,cellular_component,acrB
GO:0042493,response to drug,biological_process,acrB
GO:0042910,xenobiotic transmembrane transporter activity,molecular_function,acrB
GO:0005886,plasma membrane,cellular_component,acrB
GO:0016021,integral component of membrane,cellular_component,acrB
GO:0016020,membrane,cellular_component,acrB
GO:0015125,bile acid transmembrane transporter activity,molecular_function,acrD
GO:0005515,protein binding,molecular_function,acrD
GO:0046677,response to antibiotic,biological_process,acrD
GO:0009636,response to toxic substance,biological_process,acrD
GO:0015721,bile acid and bile salt transport,biological_process,acrD
GO:0005887,integral component of plasma membrane,cellular_component,acrD
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,biological_process,acrD
GO:0055085,transmembrane transport,biological_process,acrD
GO:0022857,transmembrane transporter activity,molecular_function,acrD
GO:0015562,efflux transmembrane transporter activity,molecular_function,acrD
GO:0046618,drug export,biological_process,acrD
GO:0005886,plasma membrane,cellular_component,acrD
GO:0006855,drug transmembrane transport,biological_process,acrD
GO:0042910,xenobiotic transmembrane transporter activity,molecular_function,acrD
GO:0016021,integral component of membrane,cellular_component,acrD
GO:0016020,membrane,cellular_component,acrD
GO:0042493,response to drug,biological_process,acrE
GO:0031226,intrinsic component of plasma membrane,cellular_component,acrE
GO:0005215,transporter activity,molecular_function,acrE
GO:0016020,membrane,cellular_component,acrE
GO:0055085,transmembrane transport,biological_process,acrE
GO:0005886,plasma membrane,cellular_component,acrE
GO:0042910,xenobiotic transmembrane transporter activity,molecular_function,acrE
GO:0046677,response to antibiotic,biological_process,acrE
GO:0055085,transmembrane transport,biological_process,acrF
GO:0022857,transmembrane transporter activity,molecular_function,acrF
GO:0015562,efflux transmembrane transporter activity,molecular_function,acrF
GO:0006855,drug transmembrane transport,biological_process,acrF
GO:0005886,plasma membrane,cellular_component,acrF
GO:0016021,integral component of membrane,cellular_component,acrF
GO:0016020,membrane,cellular_component,acrF
GO:0005515,protein binding,molecular_function,acrR
GO:0003677,DNA binding,molecular_function,acrR
GO:0008144,drug binding,molecular_function,acrR
GO:0045892,"negative regulation of transcription, DNA-templated",biological_process,acrR
GO:0043565,sequence-specific DNA binding,molecular_function,acrR
GO:0003700,DNA-binding transcription factor activity,molecular_function,acrR
GO:0042493,response to drug,biological_process,acrR
GO:0006351,"transcription, DNA-templated",biological_process,acrR
GO:0006355,"regulation of transcription, DNA-templated",biological_process,acrR
GO:0000976,transcription regulatory region sequence-specific DNA binding,molecular_function,acrR
GO:0045733,acetate catabolic process,biological_process,acs
GO:0006935,chemotaxis,biological_process,acs
GO:0006476,protein deacetylation,biological_process,acs
GO:0005829,cytosol,cellular_component,acs
GO:0034421,post-translational protein acetylation,biological_process,acs
GO:0033558,protein deacetylase activity,molecular_function,acs
GO:0018394,peptidyl-lysine acetylation,biological_process,acs
GO:0016874,ligase activity,molecular_function,acs
GO:0003824,catalytic activity,molecular_function,acs
GO:0046872,metal ion binding,molecular_function,acs
GO:0019427,acetyl-CoA biosynthetic process from acetate,biological_process,acs
GO:0016208,AMP binding,molecular_function,acs
GO:0005524,ATP binding,molecular_function,acs
GO:0000166,nucleotide binding,molecular_function,acs
GO:0003987,acetate-CoA ligase activity,molecular_function,acs
GO:0050218,propionate-CoA ligase activity,molecular_function,acs
GO:0004000,adenosine deaminase activity,molecular_function,add
GO:0015950,purine nucleotide interconversion,biological_process,add
GO:0009168,purine ribonucleoside monophosphate biosynthetic process,biological_process,add
GO:0006154,adenosine catabolic process,biological_process,add
GO:0032261,purine nucleotide salvage,biological_process,add
GO:0043103,hypoxanthine salvage,biological_process,add
GO:0046101,hypoxanthine biosynthetic process,biological_process,add
GO:0006974,cellular response to DNA damage stimulus,biological_process,add
GO:0008270,zinc ion binding,molecular_function,add
GO:0019239,deaminase activity,molecular_function,add
GO:0016787,hydrolase activity,molecular_function,add
GO:0009117,nucleotide metabolic process,biological_process,add
GO:0005829,cytosol,cellular_component,add
GO:0046872,metal ion binding,molecular_function,add
GO:0046103,inosine biosynthetic process,biological_process,add
GO:0006974,cellular response to DNA damage stimulus,biological_process,adhP
GO:0047639,alcohol oxidase activity,molecular_function,adhP
GO:0045471,response to ethanol,biological_process,adhP
GO:0046187,acetaldehyde catabolic process,biological_process,adhP
GO:0004022,alcohol dehydrogenase (NAD+) activity,molecular_function,adhP
GO:0016491,oxidoreductase activity,molecular_function,adhP
GO:0008270,zinc ion binding,molecular_function,adhP
GO:0055114,oxidation-reduction process,biological_process,adhP
GO:0046872,metal ion binding,molecular_function,adhP
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",molecular_function,adhP
GO:0008792,arginine decarboxylase activity,molecular_function,adiA
GO:0006527,arginine catabolic process,biological_process,adiA
GO:0016831,carboxy-lyase activity,molecular_function,adiA
GO:0016829,lyase activity,molecular_function,adiA
GO:0006520,cellular amino acid metabolic process,biological_process,adiA
GO:0005737,cytoplasm,cellular_component,adiA
GO:0003824,catalytic activity,molecular_function,adiA
GO:0030170,pyridoxal phosphate binding,molecular_function,adiA
GO:0051454,intracellular pH elevation,biological_process,adiA
GO:0005829,cytosol,cellular_component,adiA
GO:0006355,"regulation of transcription, DNA-templated",biological_process,adiY
GO:0043565,sequence-specific DNA binding,molecular_function,adiY
GO:0003677,DNA binding,molecular_function,adiY
GO:0045893,"positive regulation of transcription, DNA-templated",biological_process,adiY
GO:0003700,DNA-binding transcription factor activity,molecular_function,adiY
GO:0006172,ADP biosynthetic process,biological_process,adk
GO:0004017,adenylate kinase activity,molecular_function,adk
GO:0000287,magnesium ion binding,molecular_function,adk
GO:0046940,nucleoside monophosphate phosphorylation,biological_process,adk
GO:0004550,nucleoside diphosphate kinase activity,molecular_function,adk
GO:0019205,nucleobase-containing compound kinase activity,molecular_function,adk
GO:0016776,"phosphotransferase activity, phosphate group as acceptor",molecular_function,adk
GO:0016740,transferase activity,molecular_function,adk
GO:0016301,kinase activity,molecular_function,adk
GO:0009165,nucleotide biosynthetic process,biological_process,adk
GO:0006139,nucleobase-containing compound metabolic process,biological_process,adk
GO:0005737,cytoplasm,cellular_component,adk
GO:0000166,nucleotide binding,molecular_function,adk
GO:0044209,AMP salvage,biological_process,adk
GO:0005829,cytosol,cellular_component,adk
GO:0016310,phosphorylation,biological_process,adk
GO:0016208,AMP binding,molecular_function,adk
GO:0015951,purine ribonucleotide interconversion,biological_process,adk
GO:0005524,ATP binding,molecular_function,adk
GO:0005515,protein binding,molecular_function,adk
GO:0034338,short-chain carboxylesterase activity,molecular_function,aes
GO:0005737,cytoplasm,cellular_component,aes
GO:0016787,hydrolase activity,molecular_function,aes
GO:0005515,protein binding,molecular_function,aes
GO:0043433,negative regulation of DNA-binding transcription factor activity,biological_process,aes
GO:0051346,negative regulation of hydrolase activity,biological_process,aes
GO:0052689,carboxylic ester hydrolase activity,molecular_function,aes
GO:0008126,acetylesterase activity,molecular_function,aes
GO:0009056,catabolic process,biological_process,aes
GO:0033212,iron import into cell,biological_process,afuC
GO:0006826,iron ion transport,biological_process,afuC
GO:0022857,transmembrane transporter activity,molecular_function,afuC
GO:0098655,cation transmembrane transport,biological_process,afuC
GO:0055085,transmembrane transport,biological_process,afuC
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component,afuC
GO:0016887,ATPase activity,molecular_function,afuC
GO:0055072,iron ion homeostasis,biological_process,afuC
GO:0005886,plasma membrane,cellular_component,afuC
GO:0016020,membrane,cellular_component,afuC
GO:0015408,ATPase-coupled ferric iron transmembrane transporter activity,molecular_function,afuC
GO:0006811,ion transport,biological_process,afuC
GO:0005524,ATP binding,molecular_function,afuC
GO:0000166,nucleotide binding,molecular_function,afuC
GO:0034219,carbohydrate transmembrane transport,biological_process,agaB
GO:0016310,phosphorylation,biological_process,agaB
GO:0016301,kinase activity,molecular_function,agaB
GO:0016740,transferase activity,molecular_function,agaB
GO:0008982,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,molecular_function,agaB
GO:0008643,carbohydrate transport,biological_process,agaB
GO:0005737,cytoplasm,cellular_component,agaB
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,biological_process,agaB
GO:0005886,plasma membrane,cellular_component,agaC
GO:0016021,integral component of membrane,cellular_component,agaC
GO:0016020,membrane,cellular_component,agaC
GO:0008643,carbohydrate transport,biological_process,agaC
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,biological_process,agaC
GO:0005887,integral component of plasma membrane,cellular_component,agaC
GO:0005886,plasma membrane,cellular_component,agaD
GO:0016021,integral component of membrane,cellular_component,agaD
GO:0016020,membrane,cellular_component,agaD
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,biological_process,agaD
GO:0008643,carbohydrate transport,biological_process,agaD
GO:0005887,integral component of plasma membrane,cellular_component,agaD
GO:0043877,galactosamine-6-phosphate isomerase activity,molecular_function,agaI
GO:0016787,hydrolase activity,molecular_function,agaI
GO:0006044,N-acetylglucosamine metabolic process,biological_process,agaI
GO:0005975,carbohydrate metabolic process,biological_process,agaI
GO:0004342,glucosamine-6-phosphate deaminase activity,molecular_function,agaI
GO:0006046,N-acetylglucosamine catabolic process,biological_process,agaI
GO:0005737,cytoplasm,cellular_component,agaI
GO:0042802,identical protein binding,molecular_function,agaI
GO:0006048,UDP-N-acetylglucosamine biosynthetic process,biological_process,agaI
GO:0019262,N-acetylneuraminate catabolic process,biological_process,agaI
GO:0005829,cytosol,cellular_component,agaI
GO:0006043,glucosamine catabolic process,biological_process,agaI
GO:0003700,DNA-binding transcription factor activity,molecular_function,agaR
GO:0006355,"regulation of transcription, DNA-templated",biological_process,agaR
GO:0003677,DNA binding,molecular_function,agaR
GO:0016787,hydrolase activity,molecular_function,agaS
GO:1901135,carbohydrate derivative metabolic process,biological_process,agaS
GO:0097367,carbohydrate derivative binding,molecular_function,agaS
GO:0016853,isomerase activity,molecular_function,agaS
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,biological_process,agaS
GO:0005887,integral component of plasma membrane,cellular_component,agaS
GO:0034219,carbohydrate transmembrane transport,biological_process,agaV
GO:0016310,phosphorylation,biological_process,agaV
GO:0016301,kinase activity,molecular_function,agaV
GO:0016740,transferase activity,molecular_function,agaV
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,biological_process,agaV
GO:0008982,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,molecular_function,agaV
GO:0008643,carbohydrate transport,biological_process,agaV
GO:0005737,cytoplasm,cellular_component,agaV
GO:0005887,integral component of plasma membrane,cellular_component,agaW
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,biological_process,agaW
GO:0004601,peroxidase activity,molecular_function,ahpC
GO:0005737,cytoplasm,cellular_component,ahpC
GO:0009970,cellular response to sulfate starvation,biological_process,ahpC
GO:0032843,hydroperoxide reductase activity,molecular_function,ahpC
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",molecular_function,ahpC
GO:0019290,siderophore biosynthetic process,biological_process,ahpC
GO:0045454,cell redox homeostasis,biological_process,ahpC
GO:0098869,cellular oxidant detoxification,biological_process,ahpC
GO:0009321,alkyl hydroperoxide reductase complex,cellular_component,ahpC
GO:0042802,identical protein binding,molecular_function,ahpC
GO:0016491,oxidoreductase activity,molecular_function,ahpC
GO:0016209,antioxidant activity,molecular_function,ahpC
GO:0006979,response to oxidative stress,biological_process,ahpC
GO:0005515,protein binding,molecular_function,ahpC
GO:0033194,response to hydroperoxide,biological_process,ahpC
GO:0033195,response to alkyl hydroperoxide,biological_process,ahpC
GO:0055114,oxidation-reduction process,biological_process,ahpC
GO:0005829,cytosol,cellular_component,ahpC
GO:0051920,peroxiredoxin activity,molecular_function,ahpC
GO:0033554,cellular response to stress,biological_process,ahpC
GO:0042744,hydrogen peroxide catabolic process,biological_process,ahpC
GO:0008379,thioredoxin peroxidase activity,molecular_function,ahpC
GO:0050660,flavin adenine dinucleotide binding,molecular_function,ahpF
GO:0070402,NADPH binding,molecular_function,ahpF
GO:0008785,alkyl hydroperoxide reductase activity,molecular_function,ahpF
GO:0022900,electron transport chain,biological_process,ahpF
GO:0009321,alkyl hydroperoxide reductase complex,cellular_component,ahpF
GO:0016491,oxidoreductase activity,molecular_function,ahpF
GO:0051287,NAD binding,molecular_function,ahpF
GO:0045454,cell redox homeostasis,biological_process,ahpF
GO:0015035,protein disulfide oxidoreductase activity,molecular_function,ahpF
GO:0009055,electron transfer activity,molecular_function,ahpF
GO:0000302,response to reactive oxygen species,biological_process,ahpF
GO:0071949,FAD binding,molecular_function,ahpF
GO:0055114,oxidation-reduction process,biological_process,ahpF
GO:0005829,cytosol,cellular_component,ahpF
GO:0005515,protein binding,molecular_function,aidB
GO:0042802,identical protein binding,molecular_function,aidB
GO:0006974,cellular response to DNA damage stimulus,biological_process,aidB
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",molecular_function,aidB
GO:0016491,oxidoreductase activity,molecular_function,aidB
GO:0003995,acyl-CoA dehydrogenase activity,molecular_function,aidB
GO:0005737,cytoplasm,cellular_component,aidB
GO:0045892,"negative regulation of transcription, DNA-templated",biological_process,aidB
GO:0043565,sequence-specific DNA binding,molecular_function,aidB
GO:0055114,oxidation-reduction process,biological_process,aidB
GO:0003677,DNA binding,molecular_function,aidB
GO:0008470,isovaleryl-CoA dehydrogenase activity,molecular_function,aidB
GO:0106074,aminoacyl-tRNA metabolism involved in translational fidelity,biological_process,alaS
GO:0002196,Ser-tRNA(Ala) hydrolase activity,molecular_function,alaS
GO:0005829,cytosol,cellular_component,alaS
GO:0043039,tRNA aminoacylation,biological_process,alaS
GO:0016874,ligase activity,molecular_function,alaS
GO:0006412,translation,biological_process,alaS
GO:0004812,aminoacyl-tRNA ligase activity,molecular_function,alaS
GO:0046872,metal ion binding,molecular_function,alaS
GO:0042802,identical protein binding,molecular_function,alaS
GO:0003676,nucleic acid binding,molecular_function,alaS
GO:0001217,DNA-binding transcription repressor activity,molecular_function,alaS
GO:0002161,aminoacyl-tRNA editing activity,molecular_function,alaS
GO:0003723,RNA binding,molecular_function,alaS
