process_1,process_2,n_genes
Cell cycle,Enterobactin biosynthesis,0
Cell cycle,Sulfate transport,0
Cell cycle,Bacterial flagellum biogenesis,0
Cell cycle,Bile acid catabolism,0
Cell cycle,Steroid metabolism,0
Cell cycle,Nickel transport,0
Cell cycle,Nitrogen fixation,0
Cell cycle,Thiamine biosynthesis,0
Cell cycle,Toxin-antitoxin system,0
Cell cycle,Transposition,0
Cell cycle,Lipid transport,0
Cell cycle,Hydrogen peroxide,0
Cell cycle,Capsule biogenesis/degradation,0
Cell cycle,Putrescine biosynthesis,0
Cell cycle,Maltose metabolism,0
Cell cycle,DNA synthesis,0
Cell cycle,Oxygen transport,0
Cell cycle,Arginine metabolism,0
Cell cycle,Tellurium resistance,0
Cell cycle,Ascorbate biosynthesis,0
Cell cycle,Fimbrium biogenesis,0
Cell cycle,Chromate resistance,0
Cell cycle,Zinc transport,0
Cell cycle,Cellulose biosynthesis,0
Cell cycle,Copper transport,0
Cell cycle,Autoinducer synthesis,0
Cell cycle,Bacterial flagellum protein export,0
Cell cycle,Exopolysaccharide synthesis,0
Cell cycle,Ammonia transport,0
Cell cycle,Virus entry into host cell,0
Cell cycle,Viral genome integration,0
Cell cycle,Purine metabolism,0
Cell cycle,PHB biosynthesis,0
Cell cycle,Polysaccharide degradation,0
Cell cycle,Xylan degradation,0
Cell division,Cell shape,12
Cell division,Peptidoglycan synthesis,12
Cell division,Cell wall biogenesis/degradation,12
Cell division,Antiviral defense,0
Cell division,Gluconate utilization,0
Cell division,Pentose shunt,0
Cell division,Electron transport,0
Cell division,Transport,0
Cell division,DNA replication,0
Cell division,Carbohydrate metabolism,0
Cell division,Amino-acid biosynthesis,0
Cell division,Threonine biosynthesis,0
Cell division,Phosphotransferase system,0
Cell division,Sugar transport,0
Cell division,Methionine biosynthesis,0
Cell division,DNA damage,0
Cell division,DNA repair,0
Cell division,Antibiotic resistance,1
Cell division,Lysine biosynthesis,0
Cell division,Carbon dioxide fixation,0
Cell division,Aromatic amino acid biosynthesis,0
Cell division,Branched-chain amino acid biosynthesis,0
Cell division,Tryptophan biosynthesis,0
Cell division,cAMP biosynthesis,0
Cell division,Xylose metabolism,0
Cell division,Protein biosynthesis,0
Cell division,Asparagine biosynthesis,0
Cell division,Arginine biosynthesis,0
Cell division,Pyrimidine biosynthesis,0
Cell division,Chemotaxis,0
Cell division,Bacteriocin transport,0
Cell division,Protein transport,0
Cell division,Ion transport,0
Cell division,Host-virus interaction,0
Cell division,SOS response,0
Cell division,Antiport,0
Cell division,Potassium transport,0
Cell division,Diaminopimelate biosynthesis,0
Cell division,GMP biosynthesis,0
Cell division,Purine biosynthesis,0
Cell division,Glutathione biosynthesis,0
Cell division,Amino-acid transport,0
Cell division,Lipopolysaccharide biosynthesis,0
Cell division,Isoleucine biosynthesis,0
Cell division,Folate biosynthesis,0
Cell division,Tricarboxylic acid cycle,0
Cell division,Stress response,0
Cell division,Pyridoxine biosynthesis,0
Cell division,Restriction system,0
Cell division,Iron transport,0
Cell division,tRNA processing,0
Cell division,Ribosome biogenesis,0
Cell division,Glycolysis,0
Cell division,RNA repair,0
Cell division,Nucleotide metabolism,0
Cell division,Porphyrin biosynthesis,0
Cell division,Histidine biosynthesis,0
Cell division,rRNA processing,0
Cell division,Proline biosynthesis,0
Cell division,Tyrosine biosynthesis,0
Cell division,Sodium transport,0
Cell division,Symport,0
Cell division,Two-component regulatory system,0
Cell division,Aromatic hydrocarbons catabolism,0
Cell division,Glycogen biosynthesis,0
Cell division,Glycogen metabolism,0
Cell division,One-carbon metabolism,0
Cell division,Glycerol metabolism,0
Cell division,Glyoxylate bypass,0
Cell division,Nitrate assimilation,0
Cell division,Translation regulation,0
Cell division,Galactose metabolism,0
Cell division,Leucine biosynthesis,0
Cell division,Polyamine biosynthesis,0
Cell division,Spermidine biosynthesis,0
Cell division,Glucose metabolism,0
Cell division,Proline metabolism,0
Cell division,Glutamate biosynthesis,0
Cell division,DNA excision,0
Cell division,Ubiquinone biosynthesis,0
Cell division,Fatty acid biosynthesis,0
Cell division,Fatty acid metabolism,0
Cell division,Lipid metabolism,0
Cell division,Lipid biosynthesis,0
Cell division,DNA recombination,2
Cell division,ATP synthesis,0
Cell division,Hydrogen ion transport,0
Cell division,Biotin biosynthesis,0
Cell division,Pyridine nucleotide biosynthesis,0
Cell division,Phospholipid biosynthesis,0
Cell division,Phospholipid metabolism,0
Cell division,Coenzyme A biosynthesis,0
Cell division,Septation,10
Cell division,Lipid A biosynthesis,0
Cell division,Gluconeogenesis,0
Cell division,Conjugation,0
Cell division,Nucleotide biosynthesis,0
Cell division,Molybdenum cofactor biosynthesis,0
Cell division,Transcription antitermination,0
Cell division,Pantothenate biosynthesis,0
Cell division,Queuosine biosynthesis,0
Cell division,Riboflavin biosynthesis,0
Cell division,Transcription termination,0
Cell division,mRNA processing,0
Cell division,Translocation,0
Cell division,Tryptophan catabolism,0
Cell division,Menaquinone biosynthesis,0
Cell division,Chromosome partition,6
Cell division,DNA integration,2
Cell division,Virulence,0
Cell division,Lipid degradation,0
Cell division,Cell adhesion,0
Cell division,Iron storage,0
Cell division,Cysteine biosynthesis,0
Cell division,Cobalamin biosynthesis,0
Cell division,Phenylalanine biosynthesis,0
Cell division,Phosphate transport,0
Cell division,Purine salvage,0
Cell division,Fucose metabolism,0
Cell division,Galactitol metabolism,0
Cell division,Serine biosynthesis,0
Cell division,Cytosine metabolism,0
Cell division,Peptide transport,0
Cell division,Arsenical resistance,0
Cell division,Plasmid copy control,0
Cell division,Respiratory chain,0
Cell division,Methotrexate resistance,0
Cell division,Trimethoprim resistance,0
Cell division,DNA condensation,3
Cell division,Flagellar rotation,0
Cell division,Quorum sensing,0
Cell division,Deoxyribonucleotide synthesis,0
Cell division,Detoxification,0
Cell division,Heme biosynthesis,0
Cell division,Isoprene biosynthesis,0
Cell division,Enterobactin biosynthesis,0
Cell division,Sulfate transport,0
Cell division,Bacterial flagellum biogenesis,0
Cell division,Bile acid catabolism,0
Cell division,Steroid metabolism,0
Cell division,Nickel transport,0
Cell division,Nitrogen fixation,0
Cell division,Thiamine biosynthesis,0
Cell division,Toxin-antitoxin system,0
Cell division,Transposition,0
Cell division,Lipid transport,0
Cell division,Hydrogen peroxide,0
Cell division,Capsule biogenesis/degradation,0
Cell division,Putrescine biosynthesis,0
Cell division,Maltose metabolism,0
Cell division,DNA synthesis,0
Cell division,Oxygen transport,0
Cell division,Arginine metabolism,0
Cell division,Tellurium resistance,0
Cell division,Ascorbate biosynthesis,0
Cell division,Fimbrium biogenesis,0
Cell division,Chromate resistance,0
Cell division,Zinc transport,0
Cell division,Cellulose biosynthesis,0
Cell division,Copper transport,0
Cell division,Autoinducer synthesis,0
Cell division,Bacterial flagellum protein export,0
Cell division,Exopolysaccharide synthesis,0
Cell division,Ammonia transport,0
Cell division,Virus entry into host cell,0
Cell division,Viral genome integration,0
Cell division,Purine metabolism,0
Cell division,PHB biosynthesis,0
Cell division,Polysaccharide degradation,0
Cell division,Xylan degradation,0
Cell shape,Peptidoglycan synthesis,31
Cell shape,Cell wall biogenesis/degradation,29
Cell shape,Antiviral defense,0
Cell shape,Gluconate utilization,0
Cell shape,Pentose shunt,0
Cell shape,Electron transport,0
Cell shape,Transport,0
Cell shape,DNA replication,0
Cell shape,Carbohydrate metabolism,0
Cell shape,Amino-acid biosynthesis,0
Cell shape,Threonine biosynthesis,0
Cell shape,Phosphotransferase system,0
Cell shape,Sugar transport,0
Cell shape,Methionine biosynthesis,0
Cell shape,DNA damage,0
Cell shape,DNA repair,0
Cell shape,Antibiotic resistance,3
Cell shape,Lysine biosynthesis,0
Cell shape,Carbon dioxide fixation,0
Cell shape,Aromatic amino acid biosynthesis,0
Cell shape,Branched-chain amino acid biosynthesis,0
Cell shape,Tryptophan biosynthesis,0
Cell shape,cAMP biosynthesis,0
Cell shape,Xylose metabolism,0
Cell shape,Protein biosynthesis,0
Cell shape,Asparagine biosynthesis,0
Cell shape,Arginine biosynthesis,0
Cell shape,Pyrimidine biosynthesis,0
Cell shape,Chemotaxis,0
Cell shape,Bacteriocin transport,0
Cell shape,Protein transport,0
Cell shape,Ion transport,0
Cell shape,Host-virus interaction,0
Cell shape,SOS response,0
Cell shape,Antiport,0
Cell shape,Potassium transport,0
Cell shape,Diaminopimelate biosynthesis,0
Cell shape,GMP biosynthesis,0
Cell shape,Purine biosynthesis,0
Cell shape,Glutathione biosynthesis,0
Cell shape,Amino-acid transport,0
Cell shape,Lipopolysaccharide biosynthesis,0
Cell shape,Isoleucine biosynthesis,0
Cell shape,Folate biosynthesis,0
Cell shape,Tricarboxylic acid cycle,0
Cell shape,Stress response,0
Cell shape,Pyridoxine biosynthesis,0
Cell shape,Restriction system,0
Cell shape,Iron transport,0
Cell shape,tRNA processing,0
Cell shape,Ribosome biogenesis,0
Cell shape,Glycolysis,0
Cell shape,RNA repair,0
Cell shape,Nucleotide metabolism,0
Cell shape,Porphyrin biosynthesis,0
Cell shape,Histidine biosynthesis,0
Cell shape,rRNA processing,0
Cell shape,Proline biosynthesis,0
Cell shape,Tyrosine biosynthesis,0
Cell shape,Sodium transport,0
Cell shape,Symport,0
Cell shape,Two-component regulatory system,0
Cell shape,Aromatic hydrocarbons catabolism,0
Cell shape,Glycogen biosynthesis,0
Cell shape,Glycogen metabolism,0
Cell shape,One-carbon metabolism,0
Cell shape,Glycerol metabolism,0
Cell shape,Glyoxylate bypass,0
Cell shape,Nitrate assimilation,0
Cell shape,Translation regulation,0
Cell shape,Galactose metabolism,0
Cell shape,Leucine biosynthesis,0
Cell shape,Polyamine biosynthesis,0
Cell shape,Spermidine biosynthesis,0
Cell shape,Glucose metabolism,0
Cell shape,Proline metabolism,0
Cell shape,Glutamate biosynthesis,0
Cell shape,DNA excision,0
Cell shape,Ubiquinone biosynthesis,0
Cell shape,Fatty acid biosynthesis,0
Cell shape,Fatty acid metabolism,0
Cell shape,Lipid metabolism,0
Cell shape,Lipid biosynthesis,0
Cell shape,DNA recombination,0
Cell shape,ATP synthesis,0
Cell shape,Hydrogen ion transport,0
