,complex,gene,object_id
23,ethanol dehydrogenase / alcohol dehydrogenase,adhP,CPLX0-8015
24,"arginine decarboxylase, degradative",adiA,ARGDECARBOXDEG-CPLX
25,arginine:agmatine antiporter,adiC,CPLX0-7535
26,acetylesterase,aes,CPLX0-8033
27,galactosamine-specific PTS enzyme II (cryptic),agaB,CPLX-170
28,galactosamine-specific PTS enzyme II (cryptic),agaC,CPLX-170
29,galactosamine-specific PTS enzyme II (cryptic),agaD,CPLX-170
30,<I>N</I>-acetyl-D-galactosamine specific PTS (cryptic),agaV,CPLX0-7610
31,<I>N</I>-acetyl-D-galactosamine specific PTS (cryptic),agaW,CPLX0-7610
32,glucose-1-phosphatase,agp,GLUCOSE-1-PHOSPHAT-CPLX
33,alkyl hydroperoxide reductase,ahpC,CPLX0-245
34,alkyl hydroperoxide reductase,ahpF,CPLX0-245
35,isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,aidB,CPLX0-7691
36,glutamate$\mdash$pyruvate aminotransferase AlaA,alaA,CPLX0-7888
37,glutamate$\mdash$pyruvate aminotransferase AlaC,alaC,CPLX0-7887
38,alanine$\mdash$tRNA ligase/DNA-binding transcriptional repressor,alaS,ALAS-CPLX
39,"aldehyde dehydrogenase A, NAD-linked",aldA,ALD-CPLX
40,aldehyde dehydrogenase B,aldB,CPLX0-3482
41,allantoinase,allB,CPLX-64
42,allantoate amidohydrolase,allC,CPLX-7524
43,ureidoglycolate dehydrogenase,allD,CPLX0-7993
44,alanine racemase 1,alr,CPLX0-8202
45,"D-allose ABC transporter ATP binding subunit // ""D-allose ABC transporter membrane subunit"" // ""D-allose ABC transporter periplasmic binding protein""",alsA,ABC-42-CPLX
46,"D-allose ABC transporter ATP binding subunit // ""D-allose ABC transporter membrane subunit"" // ""D-allose ABC transporter periplasmic binding protein""",alsC,ABC-42-CPLX
47,"D-allose ABC transporter ATP binding subunit // ""D-allose ABC transporter membrane subunit"" // ""D-allose ABC transporter periplasmic binding protein""",alsB,ABC-42-CPLX
48,AMP nucleosidase,amn,AMP-NUCLEOSID-CPLX
49,ammonia / ammonium transporter,amtB,CPLX0-7532
50,L-asparaginase 1,ansA,ANSA-CPLX
51,L-asparaginase 2,ansB,ANSB-CPLX
52,acid phosphatase / phosphotransferase,aphA,APHA-CPLX
53,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,appA,CPLX-722
54,cytochrome {\it bd}-II ubiquinol oxidase,appC,APP-UBIOX-CPLX
55,cytochrome {\it bd}-II ubiquinol oxidase,appB,APP-UBIOX-CPLX
56,adenine phosphoribosyltransferase,apt,ADENPRIBOSYLTRAN-CPLX
57,water channel AqpZ,aqpZ,CPLX0-7653
58,L-arabinose isomerase,araA,ARABISOM-CPLX
59,ribulokinase,araB,RIBULOKIN-CPLX
60,DNA-binding transcriptional dual regulator AraC,araC,PC00003
61,L-ribulose-5-phosphate 4-epimerase AraD,araD,RIBULPEPIM-CPLX
62,arabinose ABC transporter,araG,ABC-2-CPLX
63,arabinose ABC transporter,araH,ABC-2-CPLX
64,arabinose ABC transporter,araF,ABC-2-CPLX
65,sensor histidine kinase ArcB,arcB,ARCB-CPLX
66,N-acetylglutamate synthase,argA,N-ACETYLTRANSFER-CPLX
67,acetylglutamate kinase,argB,ACETYLGLUTKIN-CPLX
68,{\it N}-acetylornithine aminotransferase / {\it N}-succinyldiaminopimelate aminotransferase,argD,ACETYLORNTRANSAM-CPLX
69,acetylornithine deacetylase,argE,ACETYLORNDEACET-CPLX
70,ornithine carbamoyltransferase,argF,ORNCARBAMTRANSFERF-CPLX
71,argininosuccinate synthetase,argG,CPLX0-238
72,ornithine carbamoyltransferase,argI,ORNCARBAMTRANSFERI-CPLX
73,DNA-binding transcriptional dual regulator ArgP,argP,CPLX0-7669
74,DNA-binding transcriptional dual regulator ArgR,argR,PC00005
75,"regulator of acid resistance, influenced by indole",ariR,CPLX0-7623
76,UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,arnA,CPLX0-7718
77,"undecaprenyl-phosphate-$\alpha$-L-Ara4N flippase - ArnE subunit // ""undecaprenyl-phosphate-$\alpha$-L-Ara4N flippase - ArnF subunit""",arnE,CPLX0-7720
78,"undecaprenyl-phosphate-$\alpha$-L-Ara4N flippase - ArnE subunit // ""undecaprenyl-phosphate-$\alpha$-L-Ara4N flippase - ArnF subunit""",arnF,CPLX0-7720
79,chorismate synthase,aroC,AROC-CPLX
80,3-dehydroquinate dehydratase,aroD,AROD-CPLX
81,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",aroF,AROF-CPLX
82,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",aroG,AROG-CPLX
83,"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive",aroH,AROH-CPLX
84,arsenite/antimonite:H$^+$ antiporter,arsB,CPLX-7
85,DNA-binding transcriptional repressor ArsR,arsR,CPLX0-7734
86,putative ABC transporter ArtPQMI,artI,CPLX0-8120
87,putative ABC transporter ArtPQMI,artM,CPLX0-8120
88,putative ABC transporter ArtPQMI,artQ,CPLX0-8120
89,putative ABC transporter ArtPQMI,artP,CPLX0-8120
90,L-arginine ABC transporter,artJ,ABC-4-CPLX
91,L-arginine ABC transporter,artQ,ABC-4-CPLX
92,L-arginine ABC transporter,artM,ABC-4-CPLX
93,L-arginine ABC transporter,artP,ABC-4-CPLX
94,$\beta$-glucoside specific PTS enzyme II,ascF,CPLX-153
95,aspartate-semialdehyde dehydrogenase,asd,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX
96,asparagine synthetase A,asnA,ASNSYNA-CPLX
97,asparagine synthetase B,asnB,ASNSYNB-CPLX
98,DNA-binding transcriptional dual regulator AsnC,asnC,CPLX0-7733
99,asparagine$\mdash$tRNA ligase,asnS,ASNS-CPLX
100,aspartate ammonia-lyase,aspA,ASPARTASE-CPLX
101,aspartate aminotransferase,aspC,ASPAMINOTRANS-DIMER
102,aspartate$\mdash$tRNA ligase,aspS,ASPS-CPLX
103,{\it N}-succinylarginine dihydrolase,astB,CPLX0-7947
104,succinylornithine transaminase,astC,SUCCORNTRANSAM-CPLX
105,$\beta$ complex,atoA,ATOA-CPLX
106,"$\beta$ complex // ""$\alpha$ complex""",atoA,ACETOACETYL-COA-TRANSFER-CPLX
107,"$\beta$ complex // ""$\alpha$ complex""",atoD,ACETOACETYL-COA-TRANSFER-CPLX
108,acetyl-CoA acetyltransferase,atoB,ACETYL-COA-ACETYLTRANSFER-CPLX
109,$\alpha$ complex,atoD,ATOD-CPLX
110,sensor histidine kinase AtoS,atoS,CPLX0-7870
111,ATP synthase F$_{1}$ complex subunit $\alpha$,atpA,ATPA-CPLX
112,"ATP synthase F$_{0}$ complex // ""ATP synthase F$_{1}$ complex""",atpB,ATPSYN-CPLX
113,"ATP synthase F$_{0}$ complex // ""ATP synthase F$_{1}$ complex""",atpF,ATPSYN-CPLX
114,"ATP synthase F$_{0}$ complex // ""ATP synthase F$_{1}$ complex""",atpE,ATPSYN-CPLX
115,"ATP synthase F$_{0}$ complex // ""ATP synthase F$_{1}$ complex""",atpD,ATPSYN-CPLX
116,"ATP synthase F$_{0}$ complex // ""ATP synthase F$_{1}$ complex""",atpG,ATPSYN-CPLX
117,"ATP synthase F$_{0}$ complex // ""ATP synthase F$_{1}$ complex""",atpA,ATPSYN-CPLX
118,"ATP synthase F$_{0}$ complex // ""ATP synthase F$_{1}$ complex""",atpH,ATPSYN-CPLX
119,"ATP synthase F$_{0}$ complex // ""ATP synthase F$_{1}$ complex""",atpC,ATPSYN-CPLX
120,ATP synthase F$_{1}$ complex,atpC,F-1-CPLX
121,ATP synthase F$_{1}$ complex,atpH,F-1-CPLX
122,ATP synthase F$_{1}$ complex,atpA,F-1-CPLX
123,ATP synthase F$_{1}$ complex,atpG,F-1-CPLX
124,ATP synthase F$_{1}$ complex,atpD,F-1-CPLX
125,ATP synthase F$_{1}$ complex subunit $\beta$,atpD,ATPD-CPLX
126,ATP synthase F$_{0}$ complex - subunit c,atpE,ATPE-CPLX
127,ATP synthase F$_{0}$ complex,atpE,F-O-CPLX
128,ATP synthase F$_{0}$ complex,atpF,F-O-CPLX
129,ATP synthase F$_{0}$ complex,atpB,F-O-CPLX
130,ATP synthase F$_{0}$ complex - subunit b,atpF,ATPF-CPLX
131,FMN dependent NADH:quinone oxidoreductase,azoR,CPLX0-7693
132,Outer Membrane Protein Assembly Complex,bamE,CPLX0-3933
133,Outer Membrane Protein Assembly Complex,bamC,CPLX0-3933
134,Outer Membrane Protein Assembly Complex,bamD,CPLX0-3933
135,Outer Membrane Protein Assembly Complex,bamA,CPLX0-3933
136,Outer Membrane Protein Assembly Complex,bamB,CPLX0-3933
137,sensor histidine kinase BarA,barA,CPLX0-8302
138,cellulose synthase,bcsB,CPLX0-8125
139,cellulose synthase,bcsA,CPLX0-8125
140,c-di-GMP-binding biofilm dispersal mediator protein,bdcA,CPLX0-8154
141,betaine aldehyde dehydrogenase,betB,BADH-CPLX
142,bacterioferritin,bfr,CPLX0-1421
143,$\beta$-glucoside specific PTS enzyme II - cys24 phosphorylated,bglF,CPLX0-8115
144,transcriptional antiterminator BglG,bglG,CPLX0-2861
145,RcsB-BglJ DNA-binding transcriptional activator,bglJ,CPLX0-7916
146,RcsB-BglJ DNA-binding transcriptional activator,rcsB,CPLX0-7916
147,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,bioA,DAPASYN-CPLX
148,biotin synthase,bioB,BIOTIN-SYN-CPLX
149,dethiobiotin synthetase,bioD,DETHIOBIOTIN-SYN-CPLX
150,8-amino-7-oxononanoate synthase,bioF,7KAPSYN-CPLX
151,Grx4-BolA complex,bolA,CPLX0-7942
152,Grx4-BolA complex,grxD,CPLX0-7942
153,vitamin B12 outer membrane transport complex,btuB,CPLX0-1924
154,vitamin B12 outer membrane transport complex,exbD,CPLX0-1924
155,vitamin B12 outer membrane transport complex,exbB,CPLX0-1924
156,vitamin B12 outer membrane transport complex,tonB,CPLX0-1924
157,vitamin B$_{12}$ ABC transporter,btuD,ABC-5-CPLX
158,vitamin B$_{12}$ ABC transporter,btuC,ABC-5-CPLX
159,vitamin B$_{12}$ ABC transporter,btuF,ABC-5-CPLX
160,lysine decarboxylase 1,cadA,LYSDECARBOX-CPLX
161,$\gamma$-butyrobetainyl-CoA:carnitine CoA transferase,caiB,CARNDEHYDRA-CPLX
162,DNA-binding transcriptional activator CaiF,caiF,CPLX0-7666
163,L-carnitine:$\gamma$-butyrobetaine antiporter,caiT,CPLX0-7906
164,carbonic anhydrase 2,can,CPLX0-7521
165,"carbamoyl phosphate synthetase subunit $\beta$ // ""carbamoyl phosphate synthetase subunit $\alpha$""",carB,CARBPSYN-CPLX
166,"carbamoyl phosphate synthetase subunit $\beta$ // ""carbamoyl phosphate synthetase subunit $\alpha$""",carA,CARBPSYN-CPLX
167,multifunctional nuclease Cas1,cas1,CPLX0-7914
168,CRISPR-associated endoribonuclease Cas2,cas2,CPLX0-8173
169,Cas1-Cas2 complex,cas2,CPLX0-8174
170,Cas1-Cas2 complex,cas1,CPLX0-8174
171,CRISPR-associated complex for antiviral defense,casA,CPLX0-7725
172,CRISPR-associated complex for antiviral defense,casB,CPLX0-7725
173,CRISPR-associated complex for antiviral defense,casC,CPLX0-7725
174,CRISPR-associated complex for antiviral defense,casD,CPLX0-7725
175,CRISPR-associated complex for antiviral defense,casE,CPLX0-7725
176,curved DNA-binding protein,cbpA,CPLX0-2802
177,heme trafficking system CcmABCDE,ccmD,ABC-35-CPLX
178,heme trafficking system CcmABCDE,ccmB,ABC-35-CPLX
179,heme trafficking system CcmABCDE,ccmA,ABC-35-CPLX
180,heme trafficking system CcmABCDE,ccmE,ABC-35-CPLX
181,heme trafficking system CcmABCDE,ccmC,ABC-35-CPLX
182,holocytochrome <I>c</I> synthetase,ccmE,CPLX0-3323
183,holocytochrome <I>c</I> synthetase,ccmF,CPLX0-3323
184,holocytochrome <I>c</I> synthetase,ccmG,CPLX0-3323
185,holocytochrome <I>c</I> synthetase,ccmH,CPLX0-3323
186,cytidine/deoxycytidine deaminase,cdd,CYTIDEAM-CPLX
187,cyclopropane fatty acyl phospholipid synthase,cfa,CFA-CPLX
188,"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II",chbA,CPLX-155
189,"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II",chbC,CPLX-155
190,"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II",chbB,CPLX-155
191,monoacetylchitobiose-6-phosphate hydrolase,chbF,CPLX0-7979
192,chemotaxis protein CheA(L),cheA,CHEA-CPLX
193,Tap<SUP>glu</SUP>,cheA,TAP-GLU
194,Tap<SUP>glu</SUP>,cheW,TAP-GLU
195,Tap<SUP>glu</SUP>,tap,TAP-GLU
196,Tar<SUP>glu</SUP>,cheA,TAR-GLU
197,Tar<SUP>glu</SUP>,cheW,TAR-GLU
198,Tar<SUP>glu</SUP>,tar,TAR-GLU
199,Trg<SUP>glu</SUP>,cheA,TRG-GLU
200,Trg<SUP>glu</SUP>,cheW,TRG-GLU
201,Trg<SUP>glu</SUP>,trg,TRG-GLU
202,chemotaxis signaling complex - serine sensing,cheW,TSR-CPLX
203,chemotaxis signaling complex - serine sensing,cheA,TSR-CPLX
204,chemotaxis signaling complex - serine sensing,tsr,TSR-CPLX
205,chemotaxis protein CheZ,cheZ,CHEZ-CPLX
206,ChpB-ChpS complex,chpB,CPLX0-7561
207,ChpB-ChpS complex,chpS,CPLX0-7561
208,citrate lyase [acyl carrier protein] component,citD,ACPSUB-CPLX
209,"citrate lyase, inactive",citD,CITLY-CPLX
210,"citrate lyase, inactive",citF,CITLY-CPLX
211,"citrate lyase, inactive",citE,CITLY-CPLX
212,"citrate lyase, citryl-acyl carrrier protein lyase component",citE,CITRYLY-CPLX
213,"citrate lyase, citrate-acyl carrier protein transferase component",citF,CITTRANS-CPLX
214,chloride:H$^+$ antiporter ClcA,clcA,CPLX0-7961
215,ClpA ATP-dependent protease specificity component and chaperone,clpA,CPLX0-881
216,disaggregating chaperone protein ClpB,clpB,CPLX0-8180
217,ClpP serine protease,clpP,CPLX0-3101
218,ClpAP,clpP,CPLX0-3104
219,ClpAP,clpA,CPLX0-3104
220,ClpAXP,clpP,CPLX0-3108
221,ClpAXP,clpA,CPLX0-3108
222,ClpAXP,clpX,CPLX0-3108
223,ClpXP,clpP,CPLX0-3107
224,ClpXP,clpX,CPLX0-3107
225,ClpX ATP-dependent protease specificity component and chaperone,clpX,CPLX0-3102
226,carboxy-{\it S}-adenosyl-L-methionine synthase,cmoA,CPLX0-8010
227,tRNA U34 carboxymethyltransferase,cmoB,CPLX0-8190
228,mannitol-specific PTS enzyme II CmtBA,cmtB,CPLX-156
229,mannitol-specific PTS enzyme II CmtBA,cmtA,CPLX-156
230,pantothenate kinase,coaA,PANTOTHENATE-KIN-CPLX
231,pantetheine-phosphate adenylyltransferase,coaD,COADTRI-CPLX
232,nicotinate-nucleotide$\mdash$dimethylbenzimidazole phosphoribosyltransferase,cobT,DMBPPRIBOSYLTRANS-CPLX
233,cobinamide-P guanylyltransferase / cobinamide kinase,cobU,COBU-CPLX
234,cytosine/isoguanine deaminase,codA,CPLX0-7932
235,sensor histidine kinase CpxA,cpxA,CPLX0-8270
236,periplasmic protein CpxP,cpxP,CPLX0-8155
237,CpxR-P$^asp$ DNA-binding transcriptional dual regulator,cpxR,CPLX0-7748
238,DNA-binding transcriptional dual regulator Cra,cra,PC00061
239,F$^-$ channel,crcB,CPLX0-8271
240,sensor histidine kinase CreC,creC,CREC-CPLX
241,DNA-binding transcriptional dual regulator CRP,crp,PC00004
242,cysteine sulfinate desulfinase,csdA,CPLX0-7838
243,sulfur acceptor protein CsdE,csdE,CPLX0-7839
244,"curli transport specificity factor // ""curli secretion channel""",csgE,CPLX-3945
245,"curli transport specificity factor // ""curli secretion channel""",csgG,CPLX-3945
246,DNA replication inhibitor,cspD,CPLX0-3301
247,transcription antiterminator and regulator of RNA stability,cspE,CPLX0-8223
248,carbon storage regulator,csrA,CPLX0-7956
249,regulator of CsrB and CsrC decay,csrD,CPLX0-8245
250,DNA-binding transcriptional dual regulator CueR-Cu$^+$,cueR,CPLX0-7708
251,NADPH-dependent curcumin/dihydrocurcumin reductase,curA,CPLX0-7927
252,copper/silver export system,cusC,CPLX0-1721
253,copper/silver export system,cusB,CPLX0-1721
254,copper/silver export system,cusF,CPLX0-1721
255,copper/silver export system,cusA,CPLX0-1721
256,sensor histidine kinase CusS,cusS,CPLX0-8288
257,copper binding protein CutA,cutA,CPLX0-3938
258,cytochrome {\it bd}-I ubiquinol oxidase,cydA,CYT-D-UBIOX-CPLX
259,cytochrome {\it bd}-I ubiquinol oxidase,cydB,CYT-D-UBIOX-CPLX
260,cytochrome {\it bd}-I ubiquinol oxidase,cydX,CYT-D-UBIOX-CPLX
261,glutathione / L-cysteine ABC exporter CydDC,cydD,ABC-6-CPLX
262,glutathione / L-cysteine ABC exporter CydDC,cydC,ABC-6-CPLX
263,cyanase,cynS,CYANLY-CPLX
264,carbonic anhydrase 1,cynT,CARBODEHYDRAT-CPLX
265,cytochrome {\it bo$_{3}$} ubiquinol oxidase,cyoD,CYT-O-UBIOX-CPLX
266,cytochrome {\it bo$_{3}$} ubiquinol oxidase,cyoA,CYT-O-UBIOX-CPLX
267,cytochrome {\it bo$_{3}$} ubiquinol oxidase,cyoB,CYT-O-UBIOX-CPLX
268,cytochrome {\it bo$_{3}$} ubiquinol oxidase,cyoC,CYT-O-UBIOX-CPLX
269,thiosulfate/sulfate ABC transporter,cysA,ABC-7-CPLX
270,thiosulfate/sulfate ABC transporter,cysW,ABC-7-CPLX
271,thiosulfate/sulfate ABC transporter,cysU,ABC-7-CPLX
272,thiosulfate/sulfate ABC transporter,cysP,ABC-7-CPLX
273,DNA-binding transcriptional dual regulator CysB,cysB,PC00040
274,adenylyl-sulfate kinase,cysC,ADENYLYLSULFKIN-CPLX
275,sulfate adenylyltransferase,cysD,SULFATE-ADENYLYLTRANS-CPLX
276,sulfate adenylyltransferase,cysN,SULFATE-ADENYLYLTRANS-CPLX
277,serine acetyltransferase,cysE,CPLX0-237
278,cysteine synthase complex,cysE,CYSSYNMULTI-CPLX
279,cysteine synthase complex,cysK,CYSSYNMULTI-CPLX
280,siroheme synthase,cysG,SIROHEMESYN-CPLX
281,phosphoadenosine phosphosulfate reductase,cysH,PAPSSULFOTRANS-CPLX
282,"sulfite reductase, flavoprotein subunit complex",cysJ,CPLX0-7841
283,assimilatory sulfite reductase (NADPH),cysJ,SULFITE-REDUCT-CPLX
284,assimilatory sulfite reductase (NADPH),cysI,SULFITE-REDUCT-CPLX
285,cysteine synthase A,cysK,ACSERLYA-CPLX
286,cysteine synthase B,cysM,ACSERLYB-CPLX
287,DNA-binding transcriptional repressor CytR,cytR,CPLX0-7740
288,D-alanyl-D-alanine carboxypeptidase DacA,dacA,CPLX0-8252
289,D-alanyl-D-alanine carboxypeptidase DacC,dacC,CPLX0-8254
290,D-amino acid dehydrogenase,dadA,DALADEHYDROG-CPLX
291,alanine racemase 2,dadX,CPLX0-7465
292,4-hydroxy-tetrahydrodipicolinate synthase,dapA,DIHYDRODIPICSYN-CPLX
293,4-hydroxy-tetrahydrodipicolinate reductase,dapB,DIHYDROPICRED-CPLX
294,tetrahydrodipicolinate succinylase,dapD,CPLX0-3181
295,succinyl-diaminopimelate desuccinylase,dapE,CPLX0-3161
296,diaminopimelate epimerase,dapF,CPLX0-7997
297,dCTP deaminase,dcd,DCTP-DEAM-CPLX
298,DcuS-DctA sensor complex,dctA,CPLX0-8306
299,DcuS-DctA sensor complex,dcuS,CPLX0-8306
300,DcuS-DcuB sensor complex,dcuB,CPLX0-8304
301,DcuS-DcuB sensor complex,dcuS,CPLX0-8304
302,DcuR-Phosphorylated DNA-binding transcriptional activator,dcuR,CPLX0-7721
303,sensor histidine kinase DcuS,dcuS,CPLX0-8307
304,D-cysteine desulfhydrase,dcyD,DCYSDESULF-CPLX
305,D-alanine$\mdash$D-alanine ligase B,ddlB,DALADALALIGB-CPLX
306,"putative D,D-dipeptide ABC transporter",ddpB,ABC-59-CPLX
307,"putative D,D-dipeptide ABC transporter",ddpC,ABC-59-CPLX
308,"putative D,D-dipeptide ABC transporter",ddpA,ABC-59-CPLX
309,"putative D,D-dipeptide ABC transporter",ddpD,ABC-59-CPLX
310,"putative D,D-dipeptide ABC transporter",ddpF,ABC-59-CPLX
311,periplasmic serine endoprotease DegP,degP,CPLX0-2921
312,periplasmic serine endoprotease,degQ,CPLX0-8187
313,serine endoprotease,degS,CPLX0-8183
314,thymidine phosphorylase,deoA,DEOA-CPLX
315,purine nucleoside phosphorylase,deoD,DEOD-CPLX
316,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,dfp,CPLX0-341
317,diguanylate cyclase DgcM,dgcM,CPLX0-8090
318,diguanylate cyclase DgcZ,dgcZ,CPLX0-7802
319,diacylglycerol kinase,dgkA,DIACYLGLYKIN-CPLX
320,dGTP triphosphohydrolase,dgt,DGTPTRIPHYDRO-CPLX
321,dihydroxyacetone kinase,dhaK,CPLX0-2081
322,dihydroxyacetone kinase,dhaL,CPLX0-2081
323,dihydroxyacetone kinase,dhaM,CPLX0-2081
324,"dihydroxyacetone kinase, phosphotransferase component",dhaM,CPLX0-8206
325,DnaA initiator-associating factor for replication initiation,diaA,CPLX0-3221
326,"dimethyl sulfoxide reductase subunit A // ""dimethyl sulfoxide reductase subunit B"" // ""dimethyl sulfoxide reductase subunit C""",dmsA,DIMESULFREDUCT-CPLX
327,"dimethyl sulfoxide reductase subunit A // ""dimethyl sulfoxide reductase subunit B"" // ""dimethyl sulfoxide reductase subunit C""",dmsB,DIMESULFREDUCT-CPLX
328,"dimethyl sulfoxide reductase subunit A // ""dimethyl sulfoxide reductase subunit B"" // ""dimethyl sulfoxide reductase subunit C""",dmsC,DIMESULFREDUCT-CPLX
329,replicative DNA helicase,dnaB,CPLX0-3621
330,primosome,dnaB,CPLX0-3922
331,primosome,dnaT,CPLX0-3922
332,primosome,priB,CPLX0-3922
333,primosome,priA,CPLX0-3922
334,primosome,priC,CPLX0-3922
335,primosome,dnaG,CPLX0-3922
336,"DNA polymerase III, core enzyme",dnaE,CPLX0-2361
337,"DNA polymerase III, core enzyme",dnaQ,CPLX0-2361
338,"DNA polymerase III, core enzyme",holE,CPLX0-2361
339,chaperone protein DnaJ,dnaJ,CPLX0-8191
340,$\beta$ sliding clamp,dnaN,CPLX0-3761
341,primosomal protein DnaT,dnaT,CPLX0-0
342,"DNA polymerase III, $\tau$ subunit dimer",dnaX,CPLX0-3802
343,"DNA polymerase III, preinitiation complex",dnaX,CPLX0-3801
344,"DNA polymerase III, preinitiation complex",holB,CPLX0-3801
345,"DNA polymerase III, preinitiation complex",holA,CPLX0-3801
346,diguanylate cyclase DosC,dosC,CPLX0-8218
347,oxygen-sensing c-di-GMP phosphodiesterase DosP,dosP,CPLX0-8199
348,DosC-DosP complex,dosP,CPLX0-7823
349,DosC-DosP complex,dosC,CPLX0-7823
350,dipeptide ABC transporter,dppD,ABC-8-CPLX
351,dipeptide ABC transporter,dppF,ABC-8-CPLX
352,dipeptide ABC transporter,dppB,ABC-8-CPLX
353,dipeptide ABC transporter,dppC,ABC-8-CPLX
354,dipeptide ABC transporter,dppA,ABC-8-CPLX
355,stationary phase nucleoid component that sequesters iron and protects DNA from damage,dps,CPLX0-1521
356,protein disulfide isomerase DsbC,dsbC,DSBC-CPLX
357,protein sulfenic acid reductase and chaperone DsbG,dsbG,DSBG-CPLX
358,DNA-binding transcriptional dual regulator DsdC,dsdC,CPLX0-7713
359,D-aminoacyl-tRNA deacylase,dtd,CPLX0-3581
360,dUTP diphosphatase,dut,DUTP-PYROP-CPLX
361,1-deoxy-D-xylulose 5-phosphate reductoisomerase,dxr,DXPREDISOM-CPLX
362,1-deoxy-D-xylulose-5-phosphate synthase,dxs,CPLX0-743
363,evolved $\beta$-D-galactosidase,ebgA,CPLX0-3937
364,evolved $\beta$-D-galactosidase,ebgC,CPLX0-3937
365,serine protease inhibitor ecotin,eco,CPLX0-1441
366,KHG/KDPG aldolase,eda,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX
367,heme-containing peroxidase/deferrochelatase,efeB,CPLX0-7810
368,multidrug efflux pump EmrE / betaine:H$^+$ antiporter / choline:H$^+$ antiporter,emrE,CPLX0-7963
369,enolase,eno,ENOLASE-CPLX
370,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",entA,ENTA-CPLX
371,"2,3-dihydroxybenzoyl-EntB",entB,CPLX0-7849
372,"{\it holo}-EntB dimer // ""phosphopantetheinyl transferase EntD"" // ""{\it holo} [EntF peptidyl-carrier protein]"" // ""2,3-dihydroxybenzoate-[aryl-carrier protein] ligase""",entB,ENTMULTI-CPLX
373,"{\it holo}-EntB dimer // ""phosphopantetheinyl transferase EntD"" // ""{\it holo} [EntF peptidyl-carrier protein]"" // ""2,3-dihydroxybenzoate-[aryl-carrier protein] ligase""",entD,ENTMULTI-CPLX
374,"{\it holo}-EntB dimer // ""phosphopantetheinyl transferase EntD"" // ""{\it holo} [EntF peptidyl-carrier protein]"" // ""2,3-dihydroxybenzoate-[aryl-carrier protein] ligase""",entF,ENTMULTI-CPLX
375,"{\it holo}-EntB dimer // ""phosphopantetheinyl transferase EntD"" // ""{\it holo} [EntF peptidyl-carrier protein]"" // ""2,3-dihydroxybenzoate-[aryl-carrier protein] ligase""",entE,ENTMULTI-CPLX
