accession_number,category,go_mapping,hierarchy,id
KW-0026,Disease,, Alzheimer disease,Alzheimer disease
KW-0986,Disease,, Amelogenesis imperfecta,Amelogenesis imperfecta
KW-0027,PTM,, Amidation,Amidation
KW-0028,Biological process,GO:0008652; cellular amino acid biosynthetic process, Amino-acid biosynthesis,Amino-acid biosynthesis
KW-0029,Biological process,GO:0006865; amino acid transport, Transport; Amino-acid transport,Amino-acid transport
KW-0030,Molecular function,GO:0004812; aminoacyl-tRNA ligase activity, Ligase; Aminoacyl-tRNA synthetase,Aminoacyl-tRNA synthetase
KW-0031,Molecular function,GO:0004177; aminopeptidase activity, Hydrolase; Protease; Aminopeptidase,Aminopeptidase
KW-0032,Molecular function,GO:0008483; transaminase activity, Transferase; Aminotransferase,Aminotransferase
KW-0924,Biological process,GO:0015696; ammonium transport, Transport; Ammonia transport,Ammonia transport
KW-0878,Molecular function,GO:0006952; defense response, Amphibian defense peptide,Amphibian defense peptide
KW-0034,Cellular component,, Amyloid,Amyloid
KW-1008,Disease,, Amyloidosis,Amyloidosis
KW-0035,Cellular component,GO:0009501; amyloplast, Plastid; Amyloplast,Amyloplast
KW-0036,Disease,, Neurodegeneration; Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis
KW-0037,Biological process,GO:0001525; angiogenesis, Angiogenesis,Angiogenesis
KW-0039,Biological process,GO:0015301; anion:anion antiporter activity, Transport; Ion transport; Anion exchange,Anion exchange
KW-0040,Domain,, ANK repeat,ANK repeat
KW-0041,Domain,, Annexin,Annexin
KW-0042,Cellular component,GO:0030076; light-harvesting complex, Antenna complex,Antenna complex
KW-0044,Molecular function,GO:0042742; defense response to bacterium, Antimicrobial; Antibiotic,Antibiotic
KW-0045,Biological process,GO:0017000; antibiotic biosynthetic process, Antibiotic biosynthesis,Antibiotic biosynthesis
KW-0046,Biological process,GO:0046677; response to antibiotic, Antibiotic resistance,Antibiotic resistance
KW-0047,Molecular function,, Antifreeze protein,Antifreeze protein
KW-0929,Molecular function,, Antimicrobial,Antimicrobial
KW-0049,Molecular function,GO:0016209; antioxidant activity, Antioxidant,Antioxidant
KW-0050,Biological process,GO:0015297; antiporter activity, Transport; Antiport,Antiport
KW-0051,Biological process,GO:0051607; defense response to virus, Antiviral defense,Antiviral defense
KW-0930,Molecular function,GO:0050688; regulation of defense response to virus, Antiviral protein,Antiviral protein
KW-0993,Disease,, Aortic aneurysm,Aortic aneurysm
KW-0933,Cellular component,GO:0020011; apicoplast, Plastid; Apicoplast,Apicoplast
KW-0052,Cellular component,GO:0048046; apoplast, Apoplast,Apoplast
KW-0053,Biological process,GO:0006915; apoptotic process, Apoptosis,Apoptosis
KW-0054,Biological process,GO:0019568; arabinose catabolic process, Carbohydrate metabolism; Arabinose catabolism,Arabinose catabolism
KW-0974,Cellular component,GO:0097589; archaeal-type flagellum, Archaeal flagellum,Archaeal flagellum
KW-1209,Biological process,, Archaeal flagellum biogenesis,Archaeal flagellum biogenesis
KW-0055,Biological process,GO:0006526; arginine biosynthetic process, Amino-acid biosynthesis; Arginine biosynthesis,Arginine biosynthesis
KW-0056,Biological process,GO:0006525; arginine metabolic process, Arginine metabolism,Arginine metabolism
KW-0057,Biological process,GO:0009073; aromatic amino acid family biosynthetic process, Amino-acid biosynthesis; Aromatic amino acid biosynthesis,Aromatic amino acid biosynthesis
KW-0058,Biological process,GO:0019439; aromatic compound catabolic process, Aromatic hydrocarbons catabolism,Aromatic hydrocarbons catabolism
KW-0059,Biological process,GO:0046685; response to arsenic-containing substance, Arsenical resistance,Arsenical resistance
KW-0060,Biological process,GO:0019853; L-ascorbic acid biosynthetic process, Ascorbate biosynthesis,Ascorbate biosynthesis
KW-0061,Biological process,GO:0006529; asparagine biosynthetic process, Amino-acid biosynthesis; Asparagine biosynthesis,Asparagine biosynthesis
KW-0062,Molecular function,GO:0019828; aspartic-type endopeptidase inhibitor activity, Protease inhibitor; Aspartic protease inhibitor,Aspartic protease inhibitor
KW-0063,Molecular function,GO:0045330; aspartyl esterase activity, Hydrolase; Aspartyl esterase,Aspartyl esterase
KW-0064,Molecular function,GO:0004190; aspartic-type endopeptidase activity, Hydrolase; Protease; Aspartyl protease,Aspartyl protease
KW-1270,Disease,, Autism spectrum disorder; Asperger syndrome,Asperger syndrome
KW-1058,Disease,, Asthma,Asthma
KW-0065,Disease,, Atherosclerosis,Atherosclerosis
KW-0066,Biological process,GO:0006754; ATP biosynthetic process, ATP synthesis,ATP synthesis
KW-0067,Ligand,GO:0005524; ATP binding, Nucleotide-binding; ATP-binding,ATP-binding
KW-1020,Disease,, Atrial fibrillation,Atrial fibrillation
KW-0976,Disease,, Atrial septal defect,Atrial septal defect
KW-1269,Disease,, Autism spectrum disorder; Autism,Autism
KW-1268,Disease,, Autism spectrum disorder,Autism spectrum disorder
KW-0068,PTM,, Autocatalytic cleavage,Autocatalytic cleavage
KW-0069,Disease,, Autoimmune encephalomyelitis,Autoimmune encephalomyelitis
KW-0070,Disease,, Autoimmune uveitis,Autoimmune uveitis
KW-0071,Biological process,, Autoinducer synthesis,Autoinducer synthesis
KW-0072,Biological process,GO:0006914; autophagy, Autophagy,Autophagy
KW-0073,Biological process,GO:0009851; auxin biosynthetic process, Auxin biosynthesis,Auxin biosynthesis
KW-0927,Biological process,GO:0009734; auxin-activated signaling pathway, Auxin signaling pathway,Auxin signaling pathway
KW-0075,Biological process,GO:0042113; B cell activation, B-cell activation,B-cell activation
KW-0975,Cellular component,GO:0009288; bacterial-type flagellum, Bacterial flagellum,Bacterial flagellum
KW-1005,Biological process,GO:0044781; bacterial-type flagellum organization, Bacterial flagellum biogenesis,Bacterial flagellum biogenesis
KW-1006,Biological process,, Transport; Protein transport; Bacterial flagellum protein export,Bacterial flagellum protein export
KW-1261,Biological process,, Host-virus interaction; Host gene expression shutoff by virus; Bacterial host gene expression shutoff by virus,Bacterial host gene expression shutoff by virus
KW-1263,Biological process,, Host-virus interaction; Host gene expression shutoff by virus; Bacterial host gene expression shutoff by virus; Bacterial host transcription shutoff by virus,Bacterial host transcription shutoff by virus
KW-0076,Ligand,GO:0042314; bacteriochlorophyll binding, Chromophore; Chlorophyll; Bacteriochlorophyll,Bacteriochlorophyll
KW-0077,Biological process,GO:0030494; bacteriochlorophyll biosynthetic process, Chlorophyll biosynthesis; Bacteriochlorophyll biosynthesis,Bacteriochlorophyll biosynthesis
KW-0078,Molecular function,GO:0019835; cytolysis, Antimicrobial; Antibiotic; Bacteriocin,Bacteriocin
KW-0871,Biological process,GO:0030152; bacteriocin biosynthetic process, Antibiotic biosynthesis; Bacteriocin biosynthesis,Bacteriocin biosynthesis
KW-0079,Biological process,GO:0030153; bacteriocin immunity, Bacteriocin immunity,Bacteriocin immunity
KW-0080,Biological process,GO:0043213; bacteriocin transport, Transport; Protein transport; Bacteriocin transport,Bacteriocin transport
KW-0081,Molecular function,GO:0042742; defense response to bacterium, Antimicrobial; Bacteriolytic enzyme,Bacteriolytic enzyme
KW-0082,Domain,GO:0030414; peptidase inhibitor activity, Bait region,Bait region
KW-0083,Disease,, Ciliopathy; Bardet-Biedl syndrome,Bardet-Biedl syndrome
KW-0910,Disease,, Bartter syndrome,Bartter syndrome
KW-0084,Cellular component,GO:0005604; basement membrane, Secreted; Extracellular matrix; Basement membrane,Basement membrane
KW-0085,Biological process,GO:0007610; behavior, Behavior,Behavior
KW-0086,Molecular function,, Bence-Jones protein,Bence-Jones protein
KW-0087,Disease,, Bernard Soulier syndrome,Bernard Soulier syndrome
KW-0088,Biological process,GO:0030573; bile acid catabolic process, Lipid metabolism; Steroid metabolism; Bile acid catabolism,Bile acid catabolism
KW-0089,Ligand,, Chromophore; Bile pigment,Bile pigment
KW-9999,,,,
KW-0090,Biological process,GO:0048511; rhythmic process, Biological rhythms,Biological rhythms
KW-0091,Biological process,GO:0031214; biomineral tissue development, Biomineralization,Biomineralization
KW-0092,Ligand,, Biotin,Biotin
KW-0093,Biological process,GO:0009102; biotin biosynthetic process, Biotin biosynthesis,Biotin biosynthesis
KW-0094,Biological process,GO:0007596; blood coagulation, Hemostasis; Blood coagulation,Blood coagulation
KW-1204,Molecular function,, Toxin; Hemostasis impairing toxin; Blood coagulation cascade activating toxin,Blood coagulation cascade activating toxin
KW-1203,Molecular function,, Toxin; Hemostasis impairing toxin; Blood coagulation cascade inhibiting toxin,Blood coagulation cascade inhibiting toxin
KW-0095,Molecular function,, Blood group antigen,Blood group antigen
KW-1222,Molecular function,, Toxin; G-protein coupled receptor impairing toxin; Bradykinin receptor impairing toxin,Bradykinin receptor impairing toxin
KW-1136,Developmental stage,, Bradyzoite,Bradyzoite
KW-0100,Biological process,GO:0009082; branched-chain amino acid biosynthetic process, Amino-acid biosynthesis; Branched-chain amino acid biosynthesis,Branched-chain amino acid biosynthesis
KW-0101,Biological process,GO:0009083; branched-chain amino acid catabolic process, Branched-chain amino acid catabolism,Branched-chain amino acid catabolism
KW-1069,Biological process,GO:0016132; brassinosteroid biosynthetic process, Lipid metabolism; Lipid biosynthesis; Steroid biosynthesis; Brassinosteroid biosynthesis,Brassinosteroid biosynthesis
KW-1070,Biological process,GO:0009742; brassinosteroid mediated signaling pathway, Brassinosteroid signaling pathway,Brassinosteroid signaling pathway
KW-0102,PTM,, Bromination,Bromination
KW-0103,Domain,, Bromodomain,Bromodomain
KW-0992,Disease,, Brugada syndrome,Brugada syndrome
KW-0973,Ligand,, c-di-GMP,c-di-GMP
KW-0104,Ligand,, Cadmium,Cadmium
KW-0105,Biological process,GO:0046686; response to cadmium ion, Cadmium resistance,Cadmium resistance
KW-0106,Ligand,, Calcium,Calcium
KW-0107,Molecular function,GO:0070588; calcium ion transmembrane transport, Ion channel; Calcium channel,Calcium channel
KW-0108,Molecular function,GO:0019855; calcium channel inhibitor activity, Toxin; Ion channel impairing toxin; Calcium channel impairing toxin,Calcium channel impairing toxin
KW-0109,Biological process,GO:0006816; calcium ion transport, Transport; Ion transport; Calcium transport,Calcium transport
KW-1221,Molecular function,, Toxin; Ion channel impairing toxin; Potassium channel impairing toxin; Calcium-activated potassium channel impairing toxin,Calcium-activated potassium channel impairing toxin
KW-0111,Ligand,GO:0005544; calcium-dependent phospholipid binding, Calcium; Calcium/phospholipid-binding,Calcium/phospholipid-binding
KW-0112,Molecular function,GO:0005516; calmodulin binding, Calmodulin-binding,Calmodulin-binding
KW-0113,Biological process,GO:0019253; reductive pentose-phosphate cycle, Calvin cycle,Calvin cycle
KW-0114,Ligand,, cAMP,cAMP
KW-0115,Biological process,GO:0006171; cAMP biosynthetic process, cAMP biosynthesis,cAMP biosynthesis
KW-0116,Ligand,GO:0030552; cAMP binding, Nucleotide-binding; cAMP-binding,cAMP-binding
KW-1157,Biological process,GO:0075526; cap snatching, Cap snatching,Cap snatching
KW-1232,Cellular component,"GO:0098021; viral capsid, decoration", Virion; Capsid protein; Capsid decoration protein,Capsid decoration protein
KW-1231,Cellular component,GO:0039641; viral inner membrane, Virion; Capsid inner membrane protein,Capsid inner membrane protein
KW-0167,Cellular component,GO:0019028; viral capsid, Virion; Capsid protein,Capsid protein
KW-0875,Cellular component,GO:0042603; capsule, Secreted; Capsule,Capsule
KW-0972,Biological process,, Capsule biogenesis/degradation,Capsule biogenesis/degradation
KW-0119,Biological process,GO:0005975; carbohydrate metabolic process, Carbohydrate metabolism,Carbohydrate metabolism
KW-0120,Biological process,GO:0015977; carbon fixation, Carbon dioxide fixation,Carbon dioxide fixation
KW-0121,Molecular function,GO:0004180; carboxypeptidase activity, Hydrolase; Protease; Carboxypeptidase,Carboxypeptidase
KW-0122,Disease,, Cardiomyopathy,Cardiomyopathy
KW-0123,Molecular function,, Toxin; Cardiotoxin,Cardiotoxin
KW-0124,Biological process,GO:0045329; carnitine biosynthetic process, Carnitine biosynthesis,Carnitine biosynthesis
KW-0125,Biological process,GO:0016117; carotenoid biosynthetic process, Carotenoid biosynthesis,Carotenoid biosynthesis
KW-0898,Disease,, Cataract,Cataract
KW-0127,Biological process,GO:0042423; catecholamine biosynthetic process, Catecholamine biosynthesis,Catecholamine biosynthesis
KW-0128,Biological process,GO:0006584; catecholamine metabolic process, Catecholamine metabolism,Catecholamine metabolism
KW-1166,Biological process,GO:0075513; caveolin-mediated endocytosis of virus by host cell, Virus entry into host cell; Viral penetration into host cytoplasm; Virus endocytosis by host; Caveolin-mediated endocytosis of virus by host,Caveolin-mediated endocytosis of virus by host
KW-0129,Domain,, CBS domain,CBS domain
KW-0130,Biological process,GO:0007155; cell adhesion, Cell adhesion,Cell adhesion
KW-1217,Molecular function,, Toxin; Cell adhesion impairing toxin,Cell adhesion impairing toxin
KW-0131,Biological process,GO:0007049; cell cycle, Cell cycle,Cell cycle
KW-0132,Biological process,GO:0051301; cell division, Cell cycle; Cell division,Cell division
KW-0997,Cellular component,GO:0005886; plasma membrane, Membrane; Cell membrane; Cell inner membrane,Cell inner membrane
KW-0965,Cellular component,GO:0030054; cell junction, Cell junction,Cell junction
KW-1003,Cellular component,GO:0005886; plasma membrane, Membrane; Cell membrane,Cell membrane
KW-0998,Cellular component,GO:0009279; cell outer membrane, Membrane; Cell outer membrane,Cell outer membrane
KW-0966,Cellular component,GO:0042995; cell projection, Cell projection,Cell projection
KW-0133,Biological process,GO:0008360; regulation of cell shape, Cell shape,Cell shape
KW-0134,Cellular component,GO:0005618; cell wall, Secreted; Cell wall,Cell wall
KW-0961,Biological process,GO:0071555; cell wall organization, Cell wall biogenesis/degradation,Cell wall biogenesis/degradation
KW-9998,,,,
KW-0135,Biological process,GO:0030244; cellulose biosynthetic process, Cellulose biosynthesis,Cellulose biosynthesis
KW-0136,Biological process,GO:0030245; cellulose catabolic process, Carbohydrate metabolism; Polysaccharide degradation; Cellulose degradation,Cellulose degradation
KW-0137,Cellular component,"GO:0000775; chromosome, centromeric region", Centromere,Centromere
KW-0138,Cellular component,"GO:0045263; proton-transporting ATP synthase complex, coupling factor F(o)", CF(0),CF(0)
KW-0139,Cellular component,"GO:0045261; proton-transporting ATP synthase complex, catalytic core F(1)", CF(1),CF(1)
KW-0140,Ligand,, cGMP,cGMP
KW-0141,Biological process,GO:0006182; cGMP biosynthetic process, cGMP biosynthesis,cGMP biosynthesis
KW-0142,Ligand,GO:0030553; cGMP binding, Nucleotide-binding; cGMP-binding,cGMP-binding
KW-0143,Molecular function,, Chaperone,Chaperone
KW-0144,Disease,, Neuropathy; Charcot-Marie-Tooth disease,Charcot-Marie-Tooth disease
KW-0145,Biological process,GO:0006935; chemotaxis, Chemotaxis,Chemotaxis
KW-0146,Biological process,GO:0006032; chitin catabolic process, Carbohydrate metabolism; Polysaccharide degradation; Chitin degradation,Chitin degradation
KW-0147,Ligand,GO:0008061; chitin binding, Chitin-binding,Chitin-binding
KW-0868,Ligand,, Chloride,Chloride
KW-0869,Molecular function,GO:0034707; chloride channel complex, Chloride; Chloride channel,Chloride channel
KW-1265,Molecular function,, Toxin; Ion channel impairing toxin; Chloride channel impairing toxin,Chloride channel impairing toxin
KW-0148,Ligand,GO:0016168; chlorophyll binding, Chromophore; Chlorophyll,Chlorophyll
KW-0149,Biological process,GO:0015995; chlorophyll biosynthetic process, Chlorophyll biosynthesis,Chlorophyll biosynthesis
KW-0881,Biological process,GO:0015996; chlorophyll catabolic process, Chlorophyll catabolism,Chlorophyll catabolism
KW-0150,Cellular component,GO:0009507; chloroplast, Plastid; Chloroplast,Chloroplast
KW-0151,Cellular component,GO:0046858; chlorosome, Chlorosome,Chlorosome
KW-0152,Biological process,GO:0006695; cholesterol biosynthetic process, Lipid metabolism; Steroid metabolism; Sterol metabolism; Sterol biosynthesis; Cholesterol biosynthesis,Cholesterol biosynthesis
KW-0153,Biological process,GO:0008203; cholesterol metabolic process, Lipid metabolism; Steroid metabolism; Sterol metabolism; Cholesterol metabolism,Cholesterol metabolism
KW-0891,Biological process,GO:0051216; cartilage development, Chondrogenesis,Chondrogenesis
KW-0155,Biological process,GO:0046687; response to chromate, Chromate resistance,Chromate resistance
KW-0156,Molecular function,GO:0006325; chromatin organization, Chromatin regulator,Chromatin regulator
KW-0157,Ligand,GO:0018298; protein-chromophore linkage, Chromophore,Chromophore
KW-0957,Cellular component,GO:0009509; chromoplast, Plastid; Chromoplast,Chromoplast
KW-0160,Coding sequence diversity,, Chromosomal rearrangement,Chromosomal rearrangement
KW-0158,Cellular component,GO:0005694; chromosome, Chromosome,Chromosome
KW-0159,Biological process,GO:0007059; chromosome segregation, Chromosome partition,Chromosome partition
KW-0161,Disease,, Chronic granulomatous disease,Chronic granulomatous disease
KW-0162,Cellular component,GO:0042627; chylomicron, Chylomicron,Chylomicron
KW-1186,Disease,, Ciliopathy,Ciliopathy
KW-0969,Cellular component,GO:0005929; cilium, Cell projection; Cilium,Cilium
KW-0970,Biological process,GO:0030030; cell projection organization, Cilium biogenesis/degradation,Cilium biogenesis/degradation
KW-0163,Biological process,GO:0006101; citrate metabolic process, Citrate utilization,Citrate utilization
KW-0164,PTM,, Citrullination,Citrullination
KW-1167,Biological process,GO:0019065; receptor-mediated endocytosis of virus by host cell, Virus entry into host cell; Viral penetration into host cytoplasm; Virus endocytosis by host; Clathrin- and caveolin-independent endocytosis of virus by host,Clathrin- and caveolin-independent endocytosis of virus by host
KW-1165,Biological process,GO:0075512; clathrin-dependent endocytosis of virus by host cell, Virus entry into host cell; Viral penetration into host cytoplasm; Virus endocytosis by host; Clathrin-mediated endocytosis of virus by host,Clathrin-mediated endocytosis of virus by host
KW-0165,PTM,, Cleavage on pair of basic residues,Cleavage on pair of basic residues
KW-0168,Cellular component,GO:0005905; clathrin-coated pit, Membrane; Coated pit,Coated pit
KW-0846,Ligand,GO:0031419; cobalamin binding, Cobalt; Cobalamin,Cobalamin
KW-0169,Biological process,GO:0009236; cobalamin biosynthetic process, Cobalamin biosynthesis,Cobalamin biosynthesis
KW-0170,Ligand,, Cobalt,Cobalt
KW-0171,Biological process,GO:0006824; cobalt ion transport, Transport; Ion transport; Cobalt transport,Cobalt transport
KW-0172,Disease,, Cockayne syndrome,Cockayne syndrome
KW-9997,,,,
KW-0173,Biological process,GO:0015937; coenzyme A biosynthetic process, Coenzyme A biosynthesis,Coenzyme A biosynthesis
KW-0174,Biological process,GO:0019295; coenzyme M biosynthetic process, Coenzyme M biosynthesis,Coenzyme M biosynthesis
KW-0175,Domain,, Coiled coil,Coiled coil
KW-0176,Domain,GO:0005581; collagen trimer, Collagen,Collagen
KW-0177,Biological process,GO:0030574; collagen catabolic process, Collagen degradation,Collagen degradation
KW-0178,Biological process,GO:0030420; establishment of competence for transformation, Competence,Competence
KW-1018,Biological process,"GO:0001867; complement activation, lectin pathway", Immunity; Innate immunity; Complement activation lectin pathway,Complement activation lectin pathway
KW-0179,Biological process,"GO:0006957; complement activation, alternative pathway", Immunity; Innate immunity; Complement alternate pathway,Complement alternate pathway
KW-0180,Biological process,"GO:0006958; complement activation, classical pathway", Immunity; Innate immunity; Complement pathway,Complement pathway
KW-1216,Molecular function,, Toxin; Complement system impairing toxin,Complement system impairing toxin
KW-0182,Disease,, Cone-rod dystrophy,Cone-rod dystrophy
KW-0954,Disease,, Congenital adrenal hyperplasia,Congenital adrenal hyperplasia
KW-0900,Disease,, Congenital disorder of glycosylation,Congenital disorder of glycosylation
KW-1055,Disease,, Hereditary hemolytic anemia; Congenital dyserythropoietic anemia,Congenital dyserythropoietic anemia
KW-0985,Disease,, Congenital erythrocytosis,Congenital erythrocytosis
KW-1022,Disease,, Congenital generalized lipodystrophy,Congenital generalized lipodystrophy
KW-0984,Disease,, Congenital hypothyroidism,Congenital hypothyroidism
KW-0912,Disease,, Congenital muscular dystrophy,Congenital muscular dystrophy
KW-1004,Disease,, Congenital myasthenic syndrome,Congenital myasthenic syndrome
KW-1014,Disease,, Congenital stationary night blindness,Congenital stationary night blindness
KW-0183,Biological process,GO:0048315; conidium formation, Sporulation; Conidiation,Conidiation
KW-0184,Biological process,GO:0000746; conjugation, Conjugation,Conjugation
KW-0186,Ligand,, Copper,Copper
KW-0187,Biological process,GO:0006825; copper ion transport, Transport; Ion transport; Copper transport,Copper transport
KW-0188,Cellular component,GO:0042628; mating plug formation, Copulatory plug,Copulatory plug
KW-1212,Disease,, Corneal dystrophy,Corneal dystrophy
KW-0190,PTM,, Covalent protein-DNA linkage,Covalent protein-DNA linkage
KW-0191,PTM,GO:0018144; RNA-protein covalent cross-linking, Covalent protein-RNA linkage,Covalent protein-RNA linkage
KW-0989,Disease,, Craniosynostosis,Craniosynostosis
KW-1257,Biological process,GO:0098672; evasion by virus of CRISPR-cas system, Host-virus interaction; CRISPR-cas system evasion by virus,CRISPR-cas system evasion by virus
KW-0192,Disease,, Crown gall tumor,Crown gall tumor
KW-0885,PTM,, CTQ,CTQ
KW-1062,Disease,, Cushing syndrome,Cushing syndrome
KW-0193,Cellular component,GO:0042302; structural constituent of cuticle, Cuticle,Cuticle
KW-0194,Cellular component,GO:0009842; cyanelle, Plastid; Cyanelle,Cyanelle
KW-0195,Molecular function,, Cyclin,Cyclin
KW-0196,Biological process,GO:0046898; response to cycloheximide, Antibiotic resistance; Cycloheximide resistance,Cycloheximide resistance
KW-0198,Biological process,GO:0019344; cysteine biosynthetic process, Amino-acid biosynthesis; Cysteine biosynthesis,Cysteine biosynthesis
KW-0199,Disease,, Cystinuria,Cystinuria
KW-0200,Biological process,"GO:0020035; cytoadherence to microvasculature, mediated by symbiont protein", Cytadherence,Cytadherence
KW-0201,Biological process,GO:0017004; cytochrome complex assembly, Cytochrome c-type biogenesis,Cytochrome c-type biogenesis
KW-0202,Molecular function,GO:0005615; extracellular space, Cytokine,Cytokine
KW-0203,Biological process,GO:0009691; cytokinin biosynthetic process, Cytokinin biosynthesis,Cytokinin biosynthesis
KW-0932,Biological process,GO:0009736; cytokinin-activated signaling pathway, Cytokinin signaling pathway,Cytokinin signaling pathway
KW-0204,Biological process,GO:0019835; cytolysis, Cytolysis,Cytolysis
KW-0963,Cellular component,GO:0005737; cytoplasm, Cytoplasm,Cytoplasm
KW-1176,Biological process,GO:0075606; transport of viral material towards nucleus, Virus entry into host cell; Cytoplasmic inwards viral transport,Cytoplasmic inwards viral transport
KW-0968,Cellular component,GO:0031410; cytoplasmic vesicle, Cytoplasmic vesicle,Cytoplasmic vesicle
KW-0205,Biological process,GO:0019858; cytosine metabolic process, Cytosine metabolism,Cytosine metabolism
KW-0206,Cellular component,GO:0005856; cytoskeleton, Cytoplasm; Cytoskeleton,Cytoskeleton
KW-0208,PTM,, D-amino acid,D-amino acid
KW-0209,Disease,, Deafness,Deafness
KW-0210,Molecular function,GO:0016831; carboxy-lyase activity, Lyase; Decarboxylase,Decarboxylase
KW-1132,Biological process,GO:0039595; induction by virus of catabolism of host mRNA, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Host mRNA suppression by virus; Decay of host mRNAs by virus,Decay of host mRNAs by virus
KW-0211,Molecular function,GO:0006952; defense response, Antimicrobial; Defensin,Defensin
KW-1238,Biological process,GO:0098996; disruption of host cell glycocalyx during viral entry, Virus entry into host cell; Degradation of host cell envelope components during virus entry; Degradation of host capsule during virus entry,Degradation of host capsule during virus entry
KW-1235,Biological process,GO:0098994; disruption of host cell envelope during viral entry, Virus entry into host cell; Degradation of host cell envelope components during virus entry,Degradation of host cell envelope components during virus entry
KW-1247,Biological process,GO:0099015; degradation of host chromosome by virus, Host-virus interaction; Host gene expression shutoff by virus; Bacterial host gene expression shutoff by virus; Degradation of host chromosome by virus,Degradation of host chromosome by virus
KW-1237,Biological process,GO:0098995; disruption by virus of host envelope lipopolysaccharide during virus entry, Virus entry into host cell; Degradation of host cell envelope components during virus entry; Degradation of host lipopolysaccharides during virus entry,Degradation of host lipopolysaccharides during virus entry
KW-1236,Biological process,GO:0098932; disruption by virus of host cell wall peptidoglycan during virus entry, Virus entry into host cell; Degradation of host cell envelope components during virus entry; Degradation of host peptidoglycans during virus entry,Degradation of host peptidoglycans during virus entry
KW-0213,Disease,, Neuropathy; Dejerine-Sottas syndrome,Dejerine-Sottas syndrome
KW-0214,Disease,, Dental caries,Dental caries
KW-0215,Biological process,GO:0009263; deoxyribonucleotide biosynthetic process, Deoxyribonucleotide synthesis,Deoxyribonucleotide synthesis
KW-1061,Molecular function,, Toxin; Dermonecrotic toxin,Dermonecrotic toxin
