aggregation_method,category,concentration_uM,condition,dataset,dataset_name,growth_rate_hr,n_complex,name,rate,rate_units,shorthand,volume
sum total,synthesis,0.1095383376214931,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,43.53623136433768,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.66
sum total,synthesis,8.05032165563135,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,3199.6164426739924,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.66
sum total,synthesis,1.003869206381104,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,398.9898238145827,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.66
sum total,synthesis,1.2137328216941867,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,482.400537447998,σ-70 (RpoD),40.0,nt/s,sigma70,0.66
sum total,synthesis,1.4945834960887523,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,594.0251996874669,all σ-factors,40.0,nt/s,all_sigma,0.66
sum total,synthesis,24.343625813710617,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,9675.422766910913,tRNA ligases,20.0,AA/s,trna,0.66
average,transport,21.38782618883698,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,8500.634294405636,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.66
sum total,transport,235.26608807720672,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,93506.97723846199,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.66
sum total,transport,34.54360653905495,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,13729.425506160469,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.66
sum total,transport,67.21883813294212,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,26716.261653614118,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.66
sum total,transport,0.24931699886016312,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,99.09153983096957,Xylose Transporters,200.0,xyl/sec,xylose_tport,0.66
sum total,transport,0.6932695358784645,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,275.5413635739675,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.66
sum total,transport,0.14923384405847448,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,59.3132897887288,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.66
average,transport,1.1909592233747748,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,473.349125248751,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.66
sum total,transport,0.18694839497470223,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,74.30301347948536,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.66
sum total,synthesis,25.08835104377058,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,9971.415299048705,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.66
sum total,synthesis,197.30528481517598,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,78419.38006036133,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.66
sum total,energy production,6.977038368306172,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,2773.0378535600253,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.66
sum total,energy production,7.039814011334381,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,2797.9881584328728,respiratory complex,5000.0,protons/s,proton_gradient,0.66
sum total,synthesis,12.718657341880062,glucose_minimal,peebo_2015,Peebo et al. 2015,0.21,5055.055797844915,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.66
sum total,synthesis,0.10826558250153205,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,43.682347634223156,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.67
sum total,synthesis,7.824263596453505,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,3156.8869303154825,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.67
sum total,synthesis,0.9928173478305696,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,400.5759865985914,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.67
sum total,synthesis,1.1302564996868858,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,456.0291109546667,σ-70 (RpoD),40.0,nt/s,sigma70,0.67
sum total,synthesis,1.7042068509494106,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,687.6031549799626,all σ-factors,40.0,nt/s,all_sigma,0.67
sum total,synthesis,24.155433563504673,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,9746.089401601486,tRNA ligases,20.0,AA/s,trna,0.67
average,transport,23.834657778323127,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,9616.66471245115,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.67
sum total,transport,262.1812355615544,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,105783.31183696263,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.67
sum total,transport,37.86328350626951,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,15276.850449408588,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.67
sum total,transport,52.824823818151756,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,21313.442965204966,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.67
sum total,transport,0.16490884325128322,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,66.53643062196826,Xylose Transporters,200.0,xyl/sec,xylose_tport,0.67
sum total,transport,0.7020124054189615,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,283.24375326401014,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.67
sum total,transport,0.19522655317449342,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,78.76883831552557,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.67
average,transport,1.073241509810058,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,433.02504492910344,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.67
sum total,transport,0.1921705766354974,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,77.5358312374307,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.67
sum total,synthesis,25.261514098202927,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,10192.36413925833,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.67
sum total,synthesis,198.89282491524776,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,80248.0836398547,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.67
sum total,energy production,6.964682138434035,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,2810.0681611225345,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.67
sum total,energy production,6.946941743821412,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,2802.910373146601,respiratory complex,5000.0,protons/s,proton_gradient,0.67
sum total,synthesis,12.659490533351585,glucose_minimal,peebo_2015,Peebo et al. 2015,0.22,5107.7752834534995,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.67
sum total,synthesis,0.11383820059004449,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,47.98735507672736,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.7
sum total,synthesis,8.071825745309269,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,3402.59742467767,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.7
sum total,synthesis,0.9730705243055771,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,410.188148815773,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.7
sum total,synthesis,1.0915037526837406,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,460.1124919063041,σ-70 (RpoD),40.0,nt/s,sigma70,0.7
sum total,synthesis,1.5433063807508525,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,650.5653717417144,all σ-factors,40.0,nt/s,all_sigma,0.7
sum total,synthesis,25.030210788105887,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,10551.235055618155,tRNA ligases,20.0,AA/s,trna,0.7
average,transport,21.223129327703337,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,8946.397936800066,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.7
sum total,transport,233.4544226047367,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,98410.37730480071,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.7
sum total,transport,36.94600012327711,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,15574.216891966233,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.7
sum total,transport,41.093688400317326,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,17322.633408269765,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.7
sum total,transport,0.40899280109380565,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,172.40682537308285,Xylose Transporters,200.0,xyl/sec,xylose_tport,0.7
sum total,transport,0.6255853513516001,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,263.70924900875355,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.7
sum total,transport,0.18614048717943546,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,78.46566096561924,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.7
average,transport,1.2661906364819493,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,533.750000902601,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.7
sum total,transport,0.2293577143972619,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,96.6834509270218,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.7
sum total,synthesis,27.578980906944107,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,11625.64361151322,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.7
sum total,synthesis,206.19345220649802,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,86918.78784312718,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.7
sum total,energy production,7.244107621268768,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,3053.6811266696363,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.7
sum total,energy production,7.947761717194984,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,3350.299474266374,respiratory complex,5000.0,protons/s,proton_gradient,0.7
sum total,synthesis,13.607367653818438,glucose_minimal,peebo_2015,Peebo et al. 2015,0.26,5736.049760790625,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.7
sum total,synthesis,0.10637389775536421,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,47.40318730892744,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.74
sum total,synthesis,8.229339898929105,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,3667.2242804799794,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.74
sum total,synthesis,1.0276094817583088,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,457.93155813699167,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.74
sum total,synthesis,1.1371525108323615,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,506.7469990972037,σ-70 (RpoD),40.0,nt/s,sigma70,0.74
sum total,synthesis,1.6347870659525634,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,728.506890626309,all σ-factors,40.0,nt/s,all_sigma,0.74
sum total,synthesis,24.687755030970965,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,11001.554898941531,tRNA ligases,20.0,AA/s,trna,0.74
average,transport,18.029275825392332,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,8034.350127517936,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.74
sum total,transport,198.32203407931567,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,88377.8514026973,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.74
sum total,transport,32.33273635753058,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,14408.372637533637,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.74
sum total,transport,56.55932317098742,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,25204.418066040787,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.74
sum total,transport,0.5275255604861715,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,235.08016046833168,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.74
sum total,transport,0.13735019700302933,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,61.20709359006597,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.74
average,transport,1.3501069245827204,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,601.6454485879486,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.74
sum total,transport,0.2265004874511604,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,100.93495922188572,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.74
sum total,synthesis,29.636032061053026,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,13206.64569530294,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.74
sum total,synthesis,208.8662010073717,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,93076.62742251305,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.74
sum total,energy production,7.595915636459681,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,3384.9526932442554,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.74
sum total,energy production,6.950424352852092,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,3097.303703512773,respiratory complex,5000.0,protons/s,proton_gradient,0.74
sum total,synthesis,13.480591617566981,glucose_minimal,peebo_2015,Peebo et al. 2015,0.31,6007.329081353139,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.74
sum total,synthesis,0.11460475768403021,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,53.141538509538705,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.77
sum total,synthesis,8.712271920350354,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,4039.8282158349375,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.77
sum total,synthesis,1.0716586885617243,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,496.92170393394025,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.77
sum total,synthesis,1.0403982198630664,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,482.4264121611848,σ-70 (RpoD),40.0,nt/s,sigma70,0.77
sum total,synthesis,1.4614695132389288,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,677.674644471812,all σ-factors,40.0,nt/s,all_sigma,0.77
sum total,synthesis,26.1472273074834,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,12124.312419116211,tRNA ligases,20.0,AA/s,trna,0.77
average,transport,17.210793198759916,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,7980.541541505782,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.77
sum total,transport,172.10793198759916,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,79805.41541505783,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.77
sum total,transport,34.1758858758484,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,15847.153225315653,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.77
sum total,transport,31.327954182919914,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,14526.58438689487,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.77
sum total,transport,0.5314377592408122,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,246.42450033340918,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.77
average,transport,1.3444649709591234,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,623.4203402439199,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.77
sum total,transport,0.23398063096588204,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,108.49541469509373,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.77
sum total,synthesis,35.05111546009388,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,16252.991932152774,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.77
sum total,synthesis,225.1985949365915,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,104423.23728052787,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.77
sum total,energy production,8.051824008852082,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,3733.5824819606573,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.77
sum total,energy production,8.440432194779898,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,3913.7777661262708,respiratory complex,5000.0,protons/s,proton_gradient,0.77
