experiment name,type of perturbation,strain type (background),growth media,inducer or drug added,concentration ,growth rate (1/hours),cell size (μm3),cel length (μm),cel width (μm),aspect ratio,surface area (μm2),surface-to-volume ratio (μm-1),DNA content per cell (genome equivalents),doubling time (minutes),C period (minutes),D period (minutes),C+D period (minutes),number of origins,time of initiation (minutes),time of termination (minutes),cell size per ori (μm3),intensity of transcription reporter (AU),RNA/protein
NCM_20150423,nutrient conditions,NCM3722,MOPS glucose,None,N/A,0.88083,0.93877,2.5736,0.72957,3.5276,5.8987,6.2834,2.0469,47.215,35.0736,30.5058,65.5800,2.6189,28.852,16.71,0.35846,NaN,0.26739
NCM_20150423,nutrient conditions,NCM3722,MOPS sorbitol,None,N/A,0.65611,0.63891,2.3783,0.6259,3.7998,4.6765,7.3194,1.8845,63.387,44.1312,34.9956,79.1280,2.3756,47.646,28.391,0.26894,NaN,0.21409
NCM_20150423,nutrient conditions,NCM3722,MOPS glycerol,None,N/A,0.59741,0.59033,2.4229,0.59149,4.0963,4.5023,7.6268,1.7192,69.615,55.6908,25.2912,80.9820,2.2397,58.248,44.324,0.26358,NaN,0.1975
NCM_20150623,nutrient conditions,NCM3722,TSB,None,N/A,2.1133,3.7034,4.1452,1.1473,3.6131,14.94,4.0343,6.4962,19.68,28.9770,37.4178,66.3960,10.366,12.325,1.9422,0.35727,NaN,0.37242
NCM_20150623,nutrient conditions,NCM3722,MOPS glucose synthetic rich,None,N/A,1.8779,3.2127,4.1946,1.0489,3.9991,13.822,4.3024,7.0954,22.147,39.7566,40.6932,80.4480,12.402,8.1381,3.6007,0.25904,NaN,0.34446
NCM_20150623,nutrient conditions,NCM3722,MOPS glucose + casamino acids,None,N/A,1.4313,1.8491,2.9609,0.97687,3.031,9.0868,4.9142,3.7565,29.057,41.9808,32.7528,74.7360,5.9462,12.437,25.361,0.31097,NaN,0.28524
NCM_20150623,nutrient conditions,NCM3722,MOPS glucose + 6 a. a.,None,N/A,1.2541,1.2597,3.1271,0.76763,4.0738,7.5413,5.9867,3.4851,33.163,39.3558,38.7132,78.0660,5.1129,21.419,27.612,0.24637,NaN,0.27558
NCM_20150623,nutrient conditions,NCM3722,MOPS glucose,None,N/A,1.0632,1.0256,3.0158,0.70278,4.2912,6.6584,6.492,2.3552,39.117,34.8204,30.0414,64.8600,3.1561,13.373,9.0757,0.32497,NaN,0.25312
NCM_20150628,nutrient conditions,NCM3722,MOPS sorbitol,None,N/A,0.75406,0.59587,2.4389,0.58318,4.1821,4.4683,7.4987,1.8845,55.153,44.1312,27.3372,71.4660,2.4552,38.838,27.816,0.2427,NaN,0.20754
NCM_20150623,nutrient conditions,NCM3722,MOPS glycerol,None,N/A,0.78904,0.53503,2.5285,0.56388,4.4841,4.4792,8.3719,1.8426,52.708,37.0584,27.1938,64.2540,2.3279,41.164,25.514,0.22984,NaN,0.22827
NCM_20150707,nutrient conditions,NCM3722,MOPS glucose synthetic rich,None,N/A,1.8088,2.7472,4.2164,0.96547,4.3672,12.789,4.6552,6.1357,22.992,42.8640,36.4668,79.3320,10.931,12.637,9.5172,0.25132,NaN,0.47065
NCM_20150707,nutrient conditions,NCM3722,MOPS glucose + 12 a. a.,None,N/A,1.5663,1.6133,3.6637,0.79141,4.6293,9.109,5.6461,3.7887,26.553,33.6096,33.0006,66.6120,5.6907,13.048,20.105,0.2835,NaN,0.37806
NCM_20150707,nutrient conditions,NCM3722,MOPS glucose + 6 a. a.,None,N/A,1.1517,1.251,3.104,0.75998,4.0844,7.4111,5.924,2.3744,36.112,45.4824,20.6670,66.1500,3.5597,6.075,15.445,0.35144,NaN,0.29671
NCM_20150707,nutrient conditions,NCM3722,MOPS glucose,None,N/A,1.1026,0.9888,2.9743,0.69354,4.2886,6.4804,6.5538,2.2433,37.719,34.5438,25.7838,60.3300,3.0302,15.111,11.935,0.32632,NaN,0.25266
NCM_20150707,nutrient conditions,NCM3722,MOPS sorbitol,None,N/A,0.62786,0.60901,2.5961,0.57831,4.4891,4.7167,7.7449,1.7284,66.239,52.3560,24.9216,77.2800,2.2449,55.201,41.318,0.27129,NaN,0.2543
MG_20160101,nutrient conditions,MG1655,MOPS glucose synthetic rich,None,N/A,1.7342,2.8642,NaN,NaN,NaN,NaN,NaN,4.2334,23.982,44.4072,25.3788,69.7860,7.516,2.1591,22.584,0.38107,NaN,0.38674
MG_20160101,nutrient conditions,MG1655,MOPS glucose + casamino acids,None,N/A,1.1273,1.539,NaN,NaN,NaN,NaN,NaN,2.4781,36.892,57.0588,17.2464,74.3040,4.0393,36.372,19.646,0.38101,NaN,0.26809
MG_20160101,nutrient conditions,MG1655,MOPS glucose + 6 a. a.,None,N/A,0.83602,1.4138,NaN,NaN,NaN,NaN,NaN,2.2916,49.746,57.9402,28.6056,86.5440,3.3398,12.947,21.141,0.42331,NaN,0.29233
MG_20160101,nutrient conditions,MG1655,MOPS glucose,None,N/A,0.70943,1.0049,NaN,NaN,NaN,NaN,NaN,1.8971,58.623,51.7632,26.9580,78.7200,2.5365,38.525,31.665,0.39619,NaN,0.21005
MG_20160101,nutrient conditions,MG1655,MOPS glycerol,None,N/A,0.39136,0.53617,NaN,NaN,NaN,NaN,NaN,1.4266,106.27,76.0860,14.8560,90.9420,1.8098,15.323,91.412,0.29626,NaN,0.15378
MG_20160314,nutrient conditions,MG1655,MOPS glucose synthetic rich,None,N/A,1.7854,2.8417,4.7505,0.91737,5.1784,13.691,4.8179,3.5288,23.294,38.7600,21.1530,59.9130,5.9466,9.9684,2.1407,0.47787,NaN,0.4451
MG_20160314,nutrient conditions,MG1655,MOPS glucose + casamino acids,None,N/A,1.0818,1.1972,2.6105,0.83267,3.1351,6.8288,5.704,2.3463,38.444,47.0742,22.1094,69.1860,3.4812,7.7049,16.335,0.34391,NaN,0.32227
MG_20160314,nutrient conditions,MG1655,MOPS glucose + 6 a. a.,None,N/A,0.83287,1.3071,2.8949,0.81908,3.5343,7.4492,5.699,2.7395,49.934,45.3150,48.7590,94.0740,3.6908,5.7948,1.1755,0.35415,NaN,0.2878
MG_20160314,nutrient conditions,MG1655,M9 glucose + 3 a. a.,None,N/A,0.73618,0.94738,2.5391,0.74507,3.4079,5.9433,6.2734,2.2169,56.493,43.2420,42.3096,85.5540,2.8568,27.434,14.183,0.33163,NaN,0.16063
MG_20160314,nutrient conditions,MG1655,MOPS glucose,None,N/A,0.69244,1.0629,2.7419,0.75812,3.6167,6.5304,6.1439,2.119,60.061,48.1998,39.8550,88.0560,2.7627,32.067,20.206,0.38473,NaN,0.21814
MG_20160314,nutrient conditions,MG1655,MOPS glycerol,None,N/A,0.31271,0.68302,2.2441,0.67452,3.327,4.7554,6.9623,1.8444,132.99,59.0442,87.1740,146.2200,2.1427,119.77,45.819,0.31876,NaN,0.14803
MG_20160420,nutrient conditions,MG1655,MOPS glucose synthetic rich,None,N/A,1.7662,3.276,4.8191,0.98167,4.9091,14.862,4.5367,3.6696,23.547,34.4952,25.4706,59.9652,5.8426,10.676,21.624,0.56071,NaN,0.4521
MG_20160420,nutrient conditions,MG1655,MOPS glucose + casamino acids,None,N/A,1.0637,1.5763,2.7888,0.93224,2.9915,8.1676,5.1815,2.0926,39.098,54.6768,12.1200,66.7980,3.2681,11.399,26.978,0.48233,NaN,0.28585
MG_20160420,nutrient conditions,MG1655,MOPS glucose + 12 a. a.,None,N/A,0.80028,1.3394,3.0319,0.80649,3.7594,7.6818,5.7353,2.2005,51.968,48.8598,33.3804,82.2420,2.9949,21.695,18.588,0.44722,NaN,0.2857
MG_20160420,nutrient conditions,MG1655,MOPS glucose + 6 a. a.,None,N/A,0.82842,1.5766,2.9779,0.89043,3.3443,8.3303,5.2837,2.5863,50.203,46.9452,44.0862,91.0320,3.5144,9.3739,6.1163,0.44861,NaN,0.28745
MG_20160420,nutrient conditions,MG1655,M9 glucose + 3 a. a.,None,N/A,0.70978,1.2677,2.7537,0.83331,3.3045,7.209,5.6867,1.7931,58.594,51.5502,22.2798,73.8300,2.395,43.358,36.314,0.52931,NaN,0.15041
MG_20160420,nutrient conditions,MG1655,MOPS glucose,None,N/A,0.66856,1.3869,2.8628,0.8529,3.3565,7.6708,5.5309,2.1405,62.207,57.1098,38.2356,95.3460,2.8933,29.068,23.971,0.47935,NaN,0.21779
MG_20160420,nutrient conditions,MG1655,MOPS glycerol,None,N/A,0.4499,0.84411,2.5424,0.70192,3.6221,5.6064,6.6417,1.7841,92.44,105.7980,20.8230,126.6240,2.5843,58.257,71.617,0.32663,NaN,0.16547
MG_20160509,nutrient conditions,MG1655,MOPS glucose synthetic rich,None,N/A,1.6541,3.6638,5.1331,1.0049,5.1287,16.175,4.4533,4.2427,25.143,41.3880,29.7822,71.1720,7.1137,4.2592,20.504,0.51503,NaN,0.34762
MG_20160509,nutrient conditions,MG1655,MOPS glycerol synthetic rich,None,N/A,1.4993,2.6674,5.0939,0.85385,5.988,13.642,5.1715,3.7823,27.739,39.4728,31.8936,71.3640,5.9494,11.852,23.585,0.44835,NaN,0.34847
MG_20160509,nutrient conditions,MG1655,MOPS glucose + 12 a. a. + 0.2mM uracil,None,N/A,0.72045,0.98256,2.7276,0.73099,3.7564,6.2358,6.3967,2.2154,57.726,60.0300,34.4334,94.4640,3.109,20.987,23.293,0.31604,NaN,0.27327
MG_20160509,nutrient conditions,MG1655,MOPS glucose + 6 a. a. + 0.2mM uracil,None,N/A,1.0654,1.3865,3.2073,0.79462,4.0599,7.9821,5.8106,2.4444,39.036,35.7630,31.5114,67.2720,3.3021,10.797,7.5245,0.41988,NaN,0.24253
MG_20160509,nutrient conditions,MG1655,M9 glucose + 3 a. a. + 0.2mM uracil,None,N/A,0.82866,1.1051,2.6302,0.79764,3.3194,6.562,5.9816,2.1166,50.188,46.5972,29.7468,76.3440,2.8702,24.032,20.441,0.38502,NaN,0.10582
MG_20160509,nutrient conditions,MG1655,MOPS glucose + 0.2mM uracil,None,N/A,0.75346,1.1649,2.963,0.76129,3.9213,7.053,6.0967,1.7309,55.197,53.1072,15.6660,68.7720,2.3718,41.621,39.531,0.49116,NaN,0.16825
MG_20160509,nutrient conditions,MG1655,MOPS glycerol + 0.2mM uracil,None,N/A,0.41312,0.71863,2.4695,0.65682,3.7926,5.0695,7.1159,1.4684,100.67,66.4740,21.2946,87.7680,1.83,12.904,79.376,0.3927,NaN,0.13727
MG_20160516,nutrient conditions,MG1655,MOPS glucose synthetic rich,None,N/A,1.7479,3.4662,4.9925,0.99168,5.0532,15.529,4.5221,4.0223,23.793,37.7394,27.1962,64.9380,6.6306,6.4446,20.391,0.52276,NaN,0.49999
MG_20160516,nutrient conditions,MG1655,MOPS glycerol synthetic rich,None,N/A,1.4982,2.7158,5.0218,0.86968,5.8,13.689,5.0772,4.3502,27.759,39.9816,37.2390,77.2200,6.8772,6.0566,18.279,0.3949,NaN,0.41991
MG_20160516,nutrient conditions,MG1655,MOPS mannose synthetic rich,None,N/A,1.3375,2.6567,4.5603,0.9083,5.039,12.994,4.9407,5.3942,31.095,47.7348,49.6410,97.3740,8.7637,27.005,12.549,0.30315,NaN,0.37671
MG_20160516,nutrient conditions,MG1655,MOPS glucose + 6 a. a. + 0.2mM uracil,None,N/A,1.0379,1.3573,3.2322,0.78224,4.1579,7.9154,5.8831,2.2083,40.071,41.4894,23.8188,65.3100,3.0947,14.834,16.253,0.43859,NaN,0.36905
MG_20160516,nutrient conditions,MG1655,M9 glucose + 3 a. a. + 0.2mM uracil,None,N/A,0.79254,1.0872,2.6726,0.78249,3.4383,6.5406,6.0577,1.6122,52.475,44.9292,12.5850,57.5136,2.1376,47.437,39.89,0.5086,NaN,0.27343
MG_20160516,nutrient conditions,MG1655,MOPS glucose + 0.2mM uracil,None,N/A,0.75655,1.1741,2.909,0.77384,3.7891,7.0351,6.0329,1.9096,54.972,51.8082,23.9940,75.8040,2.6008,34.141,30.978,0.45144,NaN,0.27444
MG_20160516,nutrient conditions,MG1655,MOPS glycerol + 0.2mM uracil,None,N/A,0.34007,0.79,2.6633,0.66014,4.0794,5.489,7.0194,1.4833,122.29,65.5440,35.7756,101.3220,1.7758,20.972,86.518,0.44486,NaN,0.19553
